x_utm,y_utm,z_utm,aCB_Res_mGal,Std_dev[mGal]
368260.02,2532272.27,1304.533167,-0.912049069,0.1
367392.29,2532642.05,1350.801373,0.519532128,0.1
367427.8,2532608.53,1348.194591,0.51077532,0.1
367458.35,2532594.86,1346.365057,0.5057594,0.1
367506.17,2532595.88,1342.861295,0.508977966,0.1
367551.82,2532584.29,1336.748547,0.757944608,0.1
367590.66,2532557.16,1330.993985,0.983367512,0.1
367635.97,2532529.3,1323.976062,0.804787994,0.1
367683.86,2532515.92,1318.246892,0.619683124,0.1
367739.04,2532515.22,1315.147303,0.560077289,0.1
367754.95,2532468.36,1312.227532,0.611014713,0.1
367776.63,2532425.43,1310.330215,0.70192214,0.1
367801.7,2532383.57,1308.213584,0.776528626,0.1
367836.11,2532340.87,1306.406445,0.798031766,0.1
367872.73,2532305.56,1305.314736,0.824725582,0.1
367924.05,2532296.8,1304.371783,0.663648956,0.1
367964.12,2532269.21,1303.441908,0.63938347,0.1
368012.85,2532257.27,1303.152119,0.403768187,0.1
368064.72,2532263.68,1303.227633,-0.029360862,0.1
368112.63,2532275.66,1303.726357,-0.424192759,0.1
368159.21,2532265.29,1304.042893,-0.552704265,0.1
368211.3,2532261.85,1304.04019,-0.676270558,0.1
368302.16,2532258.07,1304.346766,-0.685287089,0.1
368355.29,2532268.45,1304.754913,-0.821834797,0.1
368405.78,2532258.38,1304.68122,-0.706800825,0.1
368460.65,2532257.02,1304.63532,-0.706677569,0.1
368510.78,2532265,1304.421423,-0.839347796,0.1
368565.92,2532271.6,1304.110297,-0.82549564,0.1
368621.59,2532277.76,1304.969749,-0.491295129,0.1
368660.18,2532256.16,1307.183771,-0.144882106,0.1
368712.79,2532254.94,1310.340182,0.239430673,0.1
368767.72,2532237.19,1313.694864,0.586551203,0.1
368826.39,2532234.46,1318.060817,0.958652522,0.1
368872.38,2532215.68,1323.249068,1.409184867,0.1
368919.35,2532190.69,1328.137225,1.775729961,0.1
368964.14,2532161.4,1332.82868,1.846061484,0.1
369014.1,2532137.05,1337.85561,1.777913003,0.1
369073.96,2532144.28,1342.344514,1.656531721,0.1
369121.6,2532159.92,1345.28655,1.554476528,0.1
369173.15,2532166.35,1346.47509,1.38531759,0.1
369226.05,2532174.41,1343.797554,1.107204378,0.1
369278.98,2532184.25,1339.445046,0.804908044,0.1
368492.92,2532830.08,1325.210122,1.228458698,0.1
368456.66,2532799.83,1319.854597,1.316635451,0.1
368407.52,2532787.64,1315.961383,1.377886695,0.1
368386.56,2532832,1321.016978,1.25870306,0.1
368342.5,2532837.14,1320.844827,0.826196127,0.1
368300.15,2532816.04,1315.681876,0.372089454,0.1
368262.86,2532786.46,1313.062757,0.129467998,0.1
368218.12,2532750.09,1311.784654,-0.060707532,0.1
368181.56,2532708.89,1311.218492,-0.296760951,0.1
368151.7,2532673.49,1310.718449,-0.482187224,0.1
368119.42,2532630.93,1309.659192,-0.616010462,0.1
368076.42,2532605.28,1309.402746,-0.521891419,0.1
368027.19,2532606.38,1310.306534,-0.072481029,0.1
367986.11,2532566.09,1309.035882,0.079485758,0.1
367968.03,2532516.98,1308.021152,0.035851,0.1
367927.1,2532492.43,1308.627751,0.20245865,0.1
367956.45,2532446.44,1306.665137,0.026614213,0.1
367982.9,2532410,1305.362309,-0.101701334,0.1
