 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
-37.5,-37.5,0.01,7.68E-03,0.1
-37.5,-32.5,0.01,8.57E-03,0.1
-37.5,-27.5,0.01,9.68E-03,0.1
-37.5,-22.5,0.01,1.06E-02,0.1
-37.5,-17.5,0.01,1.11E-02,0.1
-37.5,-12.5,0.01,1.25E-02,0.1
-37.5,-7.5,0.01,1.30E-02,0.1
-37.5,-2.5,0.01,1.25E-02,0.1
-37.5,2.5,0.01,1.28E-02,0.1
-37.5,7.5,0.01,1.21E-02,0.1
-37.5,12.5,0.01,1.17E-02,0.1
-37.5,17.5,0.01,1.18E-02,0.1
-37.5,22.5,0.01,1.03E-02,0.1
-37.5,27.5,0.01,9.16E-03,0.1
-37.5,32.5,0.01,7.76E-03,0.1
-37.5,37.5,0.01,7.90E-03,0.1
-37.5,42.5,0.01,6.68E-03,0.1
-37.5,47.5,0.01,5.30E-03,0.1
-37.5,52.5,0.01,5.22E-03,0.1
-37.5,57.5,0.01,4.58E-03,0.1
-37.5,62.5,0.01,3.46E-03,0.1
-37.5,67.5,0.01,3.37E-03,0.1
-37.5,72.5,0.01,3.46E-03,0.1
-37.5,77.5,0.01,2.03E-03,0.1
-37.5,82.5,0.01,1.67E-03,0.1
-37.5,87.5,0.01,1.37E-03,0.1
-37.5,92.5,0.01,1.28E-03,0.1
-37.5,97.5,0.01,9.56E-04,0.1
-37.5,102.5,0.01,9.84E-04,0.1
-37.5,107.5,0.01,7.36E-04,0.1
-37.5,112.5,0.01,1.04E-03,0.1
-37.5,117.5,0.01,3.53E-04,0.1
-32.5,-37.5,0.01,8.47E-03,0.1
-32.5,-32.5,0.01,8.95E-03,0.1
-32.5,-27.5,0.01,1.09E-02,0.1
-32.5,-22.5,0.01,1.25E-02,0.1
-32.5,-17.5,0.01,1.33E-02,0.1
-32.5,-12.5,0.01,1.44E-02,0.1
-32.5,-7.5,0.01,1.48E-02,0.1
-32.5,-2.5,0.01,1.51E-02,0.1
-32.5,2.5,0.01,1.50E-02,0.1
-32.5,7.5,0.01,1.46E-02,0.1
-32.5,12.5,0.01,1.45E-02,0.1
-32.5,17.5,0.01,1.31E-02,0.1
-32.5,22.5,0.01,1.25E-02,0.1
-32.5,27.5,0.01,1.13E-02,0.1
-32.5,32.5,0.01,9.24E-03,0.1
-32.5,37.5,0.01,8.80E-03,0.1
-32.5,42.5,0.01,6.94E-03,0.1
-32.5,47.5,0.01,5.70E-03,0.1
-32.5,52.5,0.01,5.16E-03,0.1
-32.5,57.5,0.01,4.50E-03,0.1
-32.5,62.5,0.01,3.86E-03,0.1
-32.5,67.5,0.01,3.75E-03,0.1
-32.5,72.5,0.01,2.85E-03,0.1
-32.5,77.5,0.01,2.42E-03,0.1
-32.5,82.5,0.01,2.33E-03,0.1
-32.5,87.5,0.01,2.66E-03,0.1
-32.5,92.5,0.01,2.25E-03,0.1
-32.5,97.5,0.01,2.09E-03,0.1
-32.5,102.5,0.01,1.37E-03,0.1
-32.5,107.5,0.01,1.35E-03,0.1
-32.5,112.5,0.01,1.27E-03,0.1
-32.5,117.5,0.01,1.13E-03,0.1
-27.5,-37.5,0.01,9.55E-03,0.1
-27.5,-32.5,0.01,1.06E-02,0.1
-27.5,-27.5,0.01,1.18E-02,0.1
-27.5,-22.5,0.01,1.34E-02,0.1
-27.5,-17.5,0.01,1.55E-02,0.1
-27.5,-12.5,0.01,1.69E-02,0.1
-27.5,-7.5,0.01,1.82E-02,0.1
-27.5,-2.5,0.01,1.90E-02,0.1
-27.5,2.5,0.01,1.84E-02,0.1
-27.5,7.5,0.01,1.77E-02,0.1
-27.5,12.5,0.01,1.75E-02,0.1
-27.5,17.5,0.01,1.58E-02,0.1
-27.5,22.5,0.01,1.36E-02,0.1
-27.5,27.5,0.01,1.26E-02,0.1
-27.5,32.5,0.01,1.07E-02,0.1
-27.5,37.5,0.01,9.13E-03,0.1
-27.5,42.5,0.01,7.93E-03,0.1
-27.5,47.5,0.01,6.90E-03,0.1
-27.5,52.5,0.01,5.64E-03,0.1
-27.5,57.5,0.01,4.86E-03,0.1
-27.5,62.5,0.01,4.04E-03,0.1
-27.5,67.5,0.01,3.48E-03,0.1
-27.5,72.5,0.01,3.77E-03,0.1
-27.5,77.5,0.01,2.49E-03,0.1
-27.5,82.5,0.01,2.49E-03,0.1
