 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
    25.000,     25.000,     0.010, 0.3744E+00,  0.100
    25.000,     75.000,     0.010, 0.4491E+00,  0.100
    25.000,    125.000,     0.010, 0.5316E+00,  0.100
    25.000,    175.000,     0.010, 0.6122E+00,  0.100
    25.000,    225.000,     0.010, 0.6784E+00,  0.100
    25.000,    275.000,     0.010, 0.7205E+00,  0.100
    25.000,    325.000,     0.010, 0.7356E+00,  0.100
    25.000,    375.000,     0.010, 0.7278E+00,  0.100
    25.000,    425.000,     0.010, 0.7074E+00,  0.100
    25.000,    475.000,     0.010, 0.6868E+00,  0.100
    25.000,    525.000,     0.010, 0.6739E+00,  0.100
    25.000,    575.000,     0.010, 0.6691E+00,  0.100
    25.000,    625.000,     0.010, 0.6674E+00,  0.100
    25.000,    675.000,     0.010, 0.6614E+00,  0.100
    25.000,    725.000,     0.010, 0.6449E+00,  0.100
    25.000,    775.000,     0.010, 0.6146E+00,  0.100
    25.000,    825.000,     0.010, 0.5708E+00,  0.100
    25.000,    875.000,     0.010, 0.5170E+00,  0.100
    25.000,    925.000,     0.010, 0.4584E+00,  0.100
    25.000,    975.000,     0.010, 0.3999E+00,  0.100
    75.000,     25.000,     0.010, 0.4455E+00,  0.100
    75.000,     75.000,     0.010, 0.5523E+00,  0.100
    75.000,    125.000,     0.010, 0.6771E+00,  0.100
    75.000,    175.000,     0.010, 0.8026E+00,  0.100
    75.000,    225.000,     0.010, 0.9035E+00,  0.100
    75.000,    275.000,     0.010, 0.9612E+00,  0.100
    75.000,    325.000,     0.010, 0.9705E+00,  0.100
    75.000,    375.000,     0.010, 0.9384E+00,  0.100
    75.000,    425.000,     0.010, 0.8847E+00,  0.100
    75.000,    475.000,     0.010, 0.8349E+00,  0.100
    75.000,    525.000,     0.010, 0.8042E+00,  0.100
    75.000,    575.000,     0.010, 0.7921E+00,  0.100
    75.000,    625.000,     0.010, 0.7889E+00,  0.100
    75.000,    675.000,     0.010, 0.7827E+00,  0.100
    75.000,    725.000,     0.010, 0.7635E+00,  0.100
    75.000,    775.000,     0.010, 0.7263E+00,  0.100
    75.000,    825.000,     0.010, 0.6713E+00,  0.100
    75.000,    875.000,     0.010, 0.6035E+00,  0.100
    75.000,    925.000,     0.010, 0.5299E+00,  0.100
    75.000,    975.000,     0.010, 0.4573E+00,  0.100
   125.000,     25.000,     0.010, 0.5209E+00,  0.100
   125.000,     75.000,     0.010, 0.6686E+00,  0.100
   125.000,    125.000,     0.010, 0.8527E+00,  0.100
   125.000,    175.000,     0.010, 0.1045E+01,  0.100
   125.000,    225.000,     0.010, 0.1197E+01,  0.100
   125.000,    275.000,     0.010, 0.1275E+01,  0.100
   125.000,    325.000,     0.010, 0.1274E+01,  0.100
   125.000,    375.000,     0.010, 0.1201E+01,  0.100
   125.000,    425.000,     0.010, 0.1092E+01,  0.100
   125.000,    475.000,     0.010, 0.9964E+00,  0.100
   125.000,    525.000,     0.010, 0.9397E+00,  0.100
   125.000,    575.000,     0.010, 0.9174E+00,  0.100
   125.000,    625.000,     0.010, 0.9122E+00,  0.100
   125.000,    675.000,     0.010, 0.9059E+00,  0.100
   125.000,    725.000,     0.010, 0.8843E+00,  0.100
   125.000,    775.000,     0.010, 0.8401E+00,  0.100
   125.000,    825.000,     0.010, 0.7737E+00,  0.100
   125.000,    875.000,     0.010, 0.6913E+00,  0.100
   125.000,    925.000,     0.010, 0.6021E+00,  0.100
   125.000,    975.000,     0.010, 0.5149E+00,  0.100
   175.000,     25.000,     0.010, 0.5900E+00,  0.100
   175.000,     75.000,     0.010, 0.7785E+00,  0.100
   175.000,    125.000,     0.010, 0.1026E+01,  0.100
   175.000,    175.000,     0.010, 0.1293E+01,  0.100
   175.000,    225.000,     0.010, 0.1501E+01,  0.100
   175.000,    275.000,     0.010, 0.1601E+01,  0.100
   175.000,    325.000,     0.010, 0.1586E+01,  0.100
   175.000,    375.000,     0.010, 0.1468E+01,  0.100
   175.000,    425.000,     0.010, 0.1295E+01,  0.100
   175.000,    475.000,     0.010, 0.1149E+01,  0.100
   175.000,    525.000,     0.010, 0.1065E+01,  0.100
   175.000,    575.000,     0.010, 0.1033E+01,  0.100
   175.000,    625.000,     0.010, 0.1027E+01,  0.100
   175.000,    675.000,     0.010, 0.1021E+01,  0.100
   175.000,    725.000,     0.010, 0.9977E+00,  0.100
   175.000,    775.000,     0.010, 0.9472E+00,  0.100
   175.000,    825.000,     0.010, 0.8702E+00,  0.100
   175.000,    875.000,     0.010, 0.7741E+00,  0.100
   175.000,    925.000,     0.010, 0.6704E+00,  0.100
   175.000,    975.000,     0.010, 0.5694E+00,  0.100
   225.000,     25.000,     0.010, 0.6396E+00,  0.100
   225.000,     75.000,     0.010, 0.8544E+00,  0.100
   225.000,    125.000,     0.010, 0.1143E+01,  0.100
   225.000,    175.000,     0.010, 0.1459E+01,  0.100
   225.000,    225.000,     0.010, 0.1702E+01,  0.100
   225.000,    275.000,     0.010, 0.1817E+01,  0.100
   225.000,    325.000,     0.010, 0.1796E+01,  0.100
   225.000,    375.000,     0.010, 0.1650E+01,  0.100
   225.000,    425.000,     0.010, 0.1438E+01,  0.100
   225.000,    475.000,     0.010, 0.1261E+01,  0.100
   225.000,    525.000,     0.010, 0.1163E+01,  0.100
   225.000,    575.000,     0.010, 0.1128E+01,  0.100
   225.000,    625.000,     0.010, 0.1124E+01,  0.100
   225.000,    675.000,     0.010, 0.1120E+01,  0.100
   225.000,    725.000,     0.010, 0.1095E+01,  0.100
   225.000,    775.000,     0.010, 0.1040E+01,  0.100
   225.000,    825.000,     0.010, 0.9541E+00,  0.100
   225.000,    875.000,     0.010, 0.8467E+00,  0.100
   225.000,    925.000,     0.010, 0.7306E+00,  0.100
   225.000,    975.000,     0.010, 0.6177E+00,  0.100
   275.000,     25.000,     0.010, 0.6608E+00,  0.100
   275.000,     75.000,     0.010, 0.8779E+00,  0.100
   275.000,    125.000,     0.010, 0.1169E+01,  0.100
   275.000,    175.000,     0.010, 0.1487E+01,  0.100
   275.000,    225.000,     0.010, 0.1733E+01,  0.100
   275.000,    275.000,     0.010, 0.1851E+01,  0.100
   275.000,    325.000,     0.010, 0.1833E+01,  0.100
   275.000,    375.000,     0.010, 0.1691E+01,  0.100
   275.000,    425.000,     0.010, 0.1485E+01,  0.100
   275.000,    475.000,     0.010, 0.1314E+01,  0.100
   275.000,    525.000,     0.010, 0.1223E+01,  0.100
