 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
    25.000,     25.000,     0.010, 0.2782E+00,  0.100
    25.000,     75.000,     0.010, 0.5428E+00,  0.100
    25.000,    125.000,     0.010, 0.5237E+00,  0.100
    25.000,    175.000,     0.010, 0.5713E+00,  0.100
    25.000,    225.000,     0.010, 0.8481E+00,  0.100
    25.000,    275.000,     0.010, 0.5649E+00,  0.100
    25.000,    325.000,     0.010, 0.9001E+00,  0.100
    25.000,    375.000,     0.010, 0.7032E+00,  0.100
    25.000,    425.000,     0.010, 0.8515E+00,  0.100
    25.000,    475.000,     0.010, 0.5017E+00,  0.100
    25.000,    525.000,     0.010, 0.8064E+00,  0.100
    25.000,    575.000,     0.010, 0.6803E+00,  0.100
    25.000,    625.000,     0.010, 0.5416E+00,  0.100
    25.000,    675.000,     0.010, 0.6275E+00,  0.100
    25.000,    725.000,     0.010, 0.8098E+00,  0.100
    25.000,    775.000,     0.010, 0.6434E+00,  0.100
    25.000,    825.000,     0.010, 0.5554E+00,  0.100
    25.000,    875.000,     0.010, 0.6655E+00,  0.100
    25.000,    925.000,     0.010, 0.3795E+00,  0.100
    25.000,    975.000,     0.010, 0.5491E+00,  0.100
    75.000,     25.000,     0.010, 0.4199E+00,  0.100
    75.000,     75.000,     0.010, 0.6256E+00,  0.100
    75.000,    125.000,     0.010, 0.5659E+00,  0.100
    75.000,    175.000,     0.010, 0.7065E+00,  0.100
    75.000,    225.000,     0.010, 0.1002E+01,  0.100
    75.000,    275.000,     0.010, 0.8636E+00,  0.100
    75.000,    325.000,     0.010, 0.7998E+00,  0.100
    75.000,    375.000,     0.010, 0.7845E+00,  0.100
    75.000,    425.000,     0.010, 0.9869E+00,  0.100
    75.000,    475.000,     0.010, 0.6894E+00,  0.100
    75.000,    525.000,     0.010, 0.9731E+00,  0.100
    75.000,    575.000,     0.010, 0.7209E+00,  0.100
    75.000,    625.000,     0.010, 0.7850E+00,  0.100
    75.000,    675.000,     0.010, 0.6894E+00,  0.100
    75.000,    725.000,     0.010, 0.8628E+00,  0.100
    75.000,    775.000,     0.010, 0.7922E+00,  0.100
    75.000,    825.000,     0.010, 0.7202E+00,  0.100
    75.000,    875.000,     0.010, 0.4535E+00,  0.100
    75.000,    925.000,     0.010, 0.4039E+00,  0.100
    75.000,    975.000,     0.010, 0.6334E+00,  0.100
   125.000,     25.000,     0.010, 0.3757E+00,  0.100
   125.000,     75.000,     0.010, 0.6436E+00,  0.100
   125.000,    125.000,     0.010, 0.9585E+00,  0.100
   125.000,    175.000,     0.010, 0.1072E+01,  0.100
   125.000,    225.000,     0.010, 0.1339E+01,  0.100
   125.000,    275.000,     0.010, 0.1458E+01,  0.100
   125.000,    325.000,     0.010, 0.1402E+01,  0.100
   125.000,    375.000,     0.010, 0.1313E+01,  0.100
   125.000,    425.000,     0.010, 0.1169E+01,  0.100
   125.000,    475.000,     0.010, 0.9313E+00,  0.100
   125.000,    525.000,     0.010, 0.1005E+01,  0.100
   125.000,    575.000,     0.010, 0.9432E+00,  0.100
   125.000,    625.000,     0.010, 0.1002E+01,  0.100
   125.000,    675.000,     0.010, 0.1003E+01,  0.100
   125.000,    725.000,     0.010, 0.1020E+01,  0.100
   125.000,    775.000,     0.010, 0.7735E+00,  0.100
   125.000,    825.000,     0.010, 0.8241E+00,  0.100
   125.000,    875.000,     0.010, 0.6809E+00,  0.100
   125.000,    925.000,     0.010, 0.6710E+00,  0.100
   125.000,    975.000,     0.010, 0.5483E+00,  0.100
   175.000,     25.000,     0.010, 0.7275E+00,  0.100
   175.000,     75.000,     0.010, 0.7044E+00,  0.100
   175.000,    125.000,     0.010, 0.1193E+01,  0.100
   175.000,    175.000,     0.010, 0.1314E+01,  0.100
   175.000,    225.000,     0.010, 0.1670E+01,  0.100
   175.000,    275.000,     0.010, 0.1669E+01,  0.100
   175.000,    325.000,     0.010, 0.1475E+01,  0.100
   175.000,    375.000,     0.010, 0.1647E+01,  0.100
   175.000,    425.000,     0.010, 0.1142E+01,  0.100
   175.000,    475.000,     0.010, 0.1174E+01,  0.100
   175.000,    525.000,     0.010, 0.1224E+01,  0.100
   175.000,    575.000,     0.010, 0.1008E+01,  0.100
   175.000,    625.000,     0.010, 0.9309E+00,  0.100
   175.000,    675.000,     0.010, 0.1114E+01,  0.100
   175.000,    725.000,     0.010, 0.1121E+01,  0.100
   175.000,    775.000,     0.010, 0.8696E+00,  0.100
   175.000,    825.000,     0.010, 0.9851E+00,  0.100
   175.000,    875.000,     0.010, 0.6090E+00,  0.100
   175.000,    925.000,     0.010, 0.5466E+00,  0.100
   175.000,    975.000,     0.010, 0.5145E+00,  0.100
   225.000,     25.000,     0.010, 0.6160E+00,  0.100
   225.000,     75.000,     0.010, 0.8037E+00,  0.100
   225.000,    125.000,     0.010, 0.1172E+01,  0.100
   225.000,    175.000,     0.010, 0.1498E+01,  0.100
   225.000,    225.000,     0.010, 0.1882E+01,  0.100
   225.000,    275.000,     0.010, 0.1754E+01,  0.100
   225.000,    325.000,     0.010, 0.1832E+01,  0.100
   225.000,    375.000,     0.010, 0.1606E+01,  0.100
   225.000,    425.000,     0.010, 0.1476E+01,  0.100
   225.000,    475.000,     0.010, 0.1105E+01,  0.100
   225.000,    525.000,     0.010, 0.1106E+01,  0.100
   225.000,    575.000,     0.010, 0.1244E+01,  0.100
   225.000,    625.000,     0.010, 0.1166E+01,  0.100
   225.000,    675.000,     0.010, 0.1179E+01,  0.100
   225.000,    725.000,     0.010, 0.1037E+01,  0.100
   225.000,    775.000,     0.010, 0.1203E+01,  0.100
   225.000,    825.000,     0.010, 0.1092E+01,  0.100
   225.000,    875.000,     0.010, 0.7824E+00,  0.100
   225.000,    925.000,     0.010, 0.7130E+00,  0.100
   225.000,    975.000,     0.010, 0.5190E+00,  0.100
   275.000,     25.000,     0.010, 0.5881E+00,  0.100
   275.000,     75.000,     0.010, 0.7442E+00,  0.100
