x,y,z,aCB_mGal,std_dev
611229,110647,0.01,-8.089085285,0.1
611229,117147,0.01,-9.996975798,0.1
611229,123647,0.01,-10.82343995,0.1
611229,130147,0.01,-10.86679364,0.1
611229,136647,0.01,-12.09811663,0.1
611229,143147,0.01,-13.45231316,0.1
611229,149647,0.01,-14.5846233,0.1
611229,156147,0.01,-14.34958102,0.1
611229,162647,0.01,-14.05368967,0.1
611229,169147,0.01,-15.71660665,0.1
611229,175647,0.01,-15.89722763,0.1
611229,182147,0.01,-13.24795194,0.1
611229,188647,0.01,-11.51756819,0.1
611229,195147,0.01,-10.98522211,0.1
611229,201647,0.01,-10.43691469,0.1
611229,208147,0.01,-10.98466171,0.1
611229,214647,0.01,-9.837373453,0.1
611229,221147,0.01,-6.55711932,0.1
611229,227647,0.01,-5.433931529,0.1
611229,234147,0.01,-4.516233646,0.1
611229,240647,0.01,-1.973993436,0.1
611229,247147,0.01,-2.699363224,0.1
611229,253647,0.01,-4.504168347,0.1
611229,260147,0.01,-3.321982417,0.1
611229,266647,0.01,-1.322658955,0.1
611229,273147,0.01,0.099185871,0.1
611229,279647,0.01,2.147763771,0.1
611229,286147,0.01,2.851750604,0.1
611229,292647,0.01,2.254890245,0.1
611229,299147,0.01,5.539976572,0.1
611229,305647,0.01,8.840553778,0.1
611229,312147,0.01,9.044034275,0.1
611229,318647,0.01,7.83102054,0.1
611229,325147,0.01,7.381164239,0.1
617729,110647,0.01,-7.577576957,0.1
617729,117147,0.01,-8.606681822,0.1
617729,123647,0.01,-8.247132617,0.1
617729,130147,0.01,-12.45679097,0.1
617729,136647,0.01,-15.54340891,0.1
617729,143147,0.01,-15.36595576,0.1
617729,149647,0.01,-14.87903623,0.1
617729,156147,0.01,-14.07389732,0.1
617729,162647,0.01,-13.46272403,0.1
617729,169147,0.01,-14.54064427,0.1
617729,175647,0.01,-15.46211706,0.1
617729,182147,0.01,-13.9566357,0.1
617729,188647,0.01,-12.56384367,0.1
617729,195147,0.01,-12.28534821,0.1
617729,201647,0.01,-10.87920275,0.1
617729,208147,0.01,-10.34530627,0.1
617729,214647,0.01,-10.32254274,0.1
617729,221147,0.01,-9.054325082,0.1
617729,227647,0.01,-9.012684792,0.1
617729,234147,0.01,-8.267208218,0.1
617729,240647,0.01,-5.169886865,0.1
617729,247147,0.01,-4.457467645,0.1
617729,253647,0.01,-4.213907632,0.1
617729,260147,0.01,-2.326715713,0.1
617729,266647,0.01,-1.998485082,0.1
617729,273147,0.01,-1.888243218,0.1
617729,279647,0.01,0.11449405,0.1
617729,286147,0.01,2.478761174,0.1
617729,292647,0.01,4.402981375,0.1
617729,299147,0.01,6.630118471,0.1
617729,305647,0.01,8.025387289,0.1
617729,312147,0.01,9.47053985,0.1
617729,318647,0.01,9.80658918,0.1
617729,325147,0.01,7.046723253,0.1
624229,110647,0.01,-12.68758982,0.1
624229,117147,0.01,-9.590330069,0.1
624229,123647,0.01,-6.851548704,0.1
624229,130147,0.01,-12.75944125,0.1
624229,136647,0.01,-16.43179878,0.1
624229,143147,0.01,-14.67383038,0.1
624229,149647,0.01,-13.54386887,0.1
624229,156147,0.01,-13.21533352,0.1
624229,162647,0.01,-12.58977059,0.1
624229,169147,0.01,-12.66430052,0.1
624229,175647,0.01,-14.07214724,0.1
624229,182147,0.01,-14.43736756,0.1
624229,188647,0.01,-14.66151913,0.1
624229,195147,0.01,-15.17637529,0.1
624229,201647,0.01,-13.73871489,0.1
624229,208147,0.01,-12.61618973,0.1
624229,214647,0.01,-12.44286264,0.1
624229,221147,0.01,-10.5380367,0.1
624229,227647,0.01,-10.23402626,0.1
624229,234147,0.01,-10.23416099,0.1
624229,240647,0.01,-8.633548913,0.1
624229,247147,0.01,-7.362835748,0.1
624229,253647,0.01,-4.864350797,0.1
624229,260147,0.01,-1.740649145,0.1
624229,266647,0.01,-1.52311733,0.1
624229,273147,0.01,-1.218882308,0.1
624229,279647,0.01,1.660834046,0.1
624229,286147,0.01,4.668338566,0.1
624229,292647,0.01,7.207058605,0.1
624229,299147,0.01,8.182591028,0.1
624229,305647,0.01,7.346713197,0.1
624229,312147,0.01,7.329779723,0.1
624229,318647,0.01,7.269938014,0.1
624229,325147,0.01,4.251341798,0.1
630729,110647,0.01,-13.60669639,0.1
630729,117147,0.01,-11.23659334,0.1
630729,123647,0.01,-8.568779256,0.1
630729,130147,0.01,-10.10721579,0.1
630729,136647,0.01,-12.37970318,0.1
630729,143147,0.01,-12.54234751,0.1
630729,149647,0.01,-12.96711981,0.1
630729,156147,0.01,-14.07435834,0.1
630729,162647,0.01,-14.40844448,0.1
630729,169147,0.01,-14.72018318,0.1
630729,175647,0.01,-15.82342941,0.1
630729,182147,0.01,-15.7621463,0.1
630729,188647,0.01,-15.25633813,0.1
630729,195147,0.01,-15.02089722,0.1
630729,201647,0.01,-14.43480656,0.1
630729,208147,0.01,-14.74769979,0.1
630729,214647,0.01,-13.99714874,0.1
630729,221147,0.01,-11.64435121,0.1
630729,227647,0.01,-11.9117725,0.1
630729,234147,0.01,-11.86492786,0.1
630729,240647,0.01,-10.07906094,0.1
630729,247147,0.01,-9.197833545,0.1
630729,253647,0.01,-6.769473521,0.1
630729,260147,0.01,-3.963334512,0.1
630729,266647,0.01,-3.106540722,0.1
630729,273147,0.01,0.16489259,0.1
630729,279647,0.01,3.801081149,0.1
630729,286147,0.01,4.803294851,0.1
630729,292647,0.01,6.519462562,0.1
630729,299147,0.01,9.738415986,0.1
630729,305647,0.01,9.719694103,0.1
630729,312147,0.01,8.318027387,0.1
630729,318647,0.01,6.683865245,0.1
630729,325147,0.01,3.610585604,0.1
637229,110647,0.01,-8.070182663,0.1
637229,117147,0.01,-9.655172493,0.1
637229,123647,0.01,-10.42606575,0.1
637229,130147,0.01,-9.571072793,0.1
637229,136647,0.01,-9.789050341,0.1
637229,143147,0.01,-11.93122095,0.1
637229,149647,0.01,-12.93190392,0.1
637229,156147,0.01,-13.49234774,0.1
637229,162647,0.01,-14.74577767,0.1
637229,169147,0.01,-15.56543798,0.1
637229,175647,0.01,-16.12503972,0.1
637229,182147,0.01,-15.47857932,0.1
637229,188647,0.01,-14.68280802,0.1
637229,195147,0.01,-14.33707126,0.1
637229,201647,0.01,-13.15474881,0.1
637229,208147,0.01,-13.03531549,0.1
637229,214647,0.01,-12.83273639,0.1
637229,221147,0.01,-13.63481968,0.1
637229,227647,0.01,-16.54311721,0.1
637229,234147,0.01,-16.14711353,0.1
637229,240647,0.01,-12.35651895,0.1
637229,247147,0.01,-10.49810098,0.1
637229,253647,0.01,-8.178430202,0.1
637229,260147,0.01,-5.398867328,0.1
637229,266647,0.01,-3.051498538,0.1
637229,273147,0.01,1.297679529,0.1
637229,279647,0.01,4.432464943,0.1
