x_m,y_m,z_m,gv_mGal,std_dev
528873,2092233,2509.008733,1.1510489,0.1
528873,2094233,2611.526245,-0.169454965,0.1
528873,2096233,2627.007418,1.43419754,0.1
528873,2098233,2781.446311,-0.133009961,0.1
528873,2100233,2708.378227,1.018819182,0.1
528873,2112233,2620.308245,-0.398360162,0.1
528873,2114233,2696.658798,0.299521322,0.1
528873,2116233,2756.249591,0.134146034,0.1
528873,2118233,2850.856561,0.762517797,0.1
528873,2120233,3045.610636,-0.009575112,0.1
528873,2122233,3099.346143,0.630686402,0.1
528873,2124233,2891.465331,-0.479019624,0.1
530873,2092233,2770.945117,-2.92287109,0.1
530873,2094233,2815.662211,-1.104600338,0.1
530873,2096233,2792.336183,-0.084976584,0.1
530873,2098233,2901.714353,-0.032859038,0.1
530873,2100233,2967.04165,2.007832125,0.1
530873,2102233,2928.666322,1.05049923,0.1
530873,2104233,3022.618503,-0.939933681,0.1
530873,2106233,2916.347399,2.592928647,0.1
530873,2108233,2871.678283,1.206410376,0.1
530873,2110233,2812.55686,1.482157721,0.1
530873,2112233,2838.198416,1.293633109,0.1
530873,2114233,2891.073873,2.274923175,0.1
530873,2116233,3033.141792,2.0547668,0.1
530873,2118233,3171.98239,1.368733298,0.1
530873,2120233,3303.131667,1.552347812,0.1
530873,2122233,3322.362148,1.977097245,0.1
532873,2092233,2517.949608,-0.806771614,0.1
532873,2094233,2928.999228,-0.85320054,0.1
532873,2096233,3012.576351,0.316774305,0.1
532873,2098233,3185.92624,0.542507394,0.1
532873,2100233,3384.086698,-1.183313087,0.1
532873,2102233,3315.2375,1.319882689,0.1
532873,2104233,3549.643129,0.091973924,0.1
532873,2106233,3313.247652,2.933065239,0.1
532873,2108233,3095.929691,1.843234742,0.1
532873,2110233,3134.140073,2.769907658,0.1
532873,2112233,3157.580146,1.3146808,0.1
532873,2114233,3424.391898,-5.763347791,0.1
532873,2116233,3443.844493,1.403752726,0.1
532873,2118233,3449.709811,0.411719176,0.1
532873,2120233,3626.657826,1.312010978,0.1
532873,2122233,3663.074942,-0.218343283,0.1
534873,2092233,2975.174061,-3.81873229,0.1
534873,2094233,2910.495215,-0.069242394,0.1
