x_m,y_m,z_dem,gv_sat_anomCBRes[mGal],std_dev[mGal]
367342.281,2531844,1352.2,0.048,0.01
367342.281,2531944,1346.86,0.047,0.01
367342.281,2532044,1344.98,0.052,0.01
367342.281,2532144,1344.24,-0.011,0.01
367342.281,2532244,1343.75,-0.097,0.01
367342.281,2532344,1344.69,-0.044,0.01
367342.281,2532444,1346.55,0.078,0.01
367342.281,2532544,1348.18,0.169,0.01
367342.281,2532644,1350.9,0.275,0.01
367342.281,2532744,1354.63,0.231,0.01
367342.281,2532844,1359.95,0.103,0.01
367342.281,2532944,1367.74,0.076,0.01
367442.281,2531844,1354.52,0.069,0.01
367442.281,2531944,1348.35,0.053,0.01
367442.281,2532044,1345.23,0.128,0.01
367442.281,2532144,1344.03,0.092,0.01
367442.281,2532244,1343.54,0.06,0.01
367442.281,2532344,1343.03,0.122,0.01
367442.281,2532444,1343.85,0.254,0.01
367442.281,2532544,1345.55,0.337,0.01
367442.281,2532644,1349.13,0.322,0.01
367442.281,2532744,1353.75,0.15,0.01
367442.281,2532844,1361.15,0.025,0.01
367442.281,2532944,1372.47,-0.003,0.01
367542.281,2531844,1358.1,0.148,0.01
367542.281,2531944,1350.33,0.149,0.01
367542.281,2532044,1345.89,0.211,0.01
367542.281,2532144,1342.57,0.293,0.01
367542.281,2532244,1337.95,0.462,0.01
367542.281,2532344,1333.8,0.465,0.01
367542.281,2532444,1333.71,0.52,0.01
367542.281,2532544,1336.15,0.483,0.01
367542.281,2532644,1340.85,0.381,0.01
367542.281,2532744,1348.05,0.186,0.01
367542.281,2532844,1359.61,-0.265,0.01
367542.281,2532944,1377.33,-0.639,0.01
367642.281,2531844,1362.49,0.135,0.01
367642.281,2531944,1353.87,0.19,0.01
367642.281,2532044,1348.31,0.224,0.01
367642.281,2532144,1339.99,0.338,0.01
367642.281,2532244,1327.91,0.474,0.01
367642.281,2532344,1319.42,0.47,0.01
367642.281,2532444,1319.44,0.451,0.01
367642.281,2532544,1323.9,0.381,0.01
367642.281,2532644,1330.57,0.328,0.01
367642.281,2532744,1342.3,0.167,0.01
367642.281,2532844,1360.92,-0.391,0.01
367642.281,2532944,1386.75,-0.764,0.01
367742.281,2531844,1365.33,0.309,0.01
367742.281,2531944,1355.78,0.266,0.01
367742.281,2532044,1348.01,0.269,0.01
367742.281,2532144,1333.57,0.326,0.01
367742.281,2532244,1316.83,0.262,0.01
367742.281,2532344,1309.27,0.209,0.01
367742.281,2532444,1311.49,0.19,0.01
367742.281,2532544,1316.56,0.164,0.01
367742.281,2532644,1323.76,0.067,0.01
367742.281,2532744,1341.03,-0.009,0.01
367742.281,2532844,1367.93,-0.06,0.01
367742.281,2532944,1396.74,-0.127,0.01
367842.281,2531844,1367.57,0.103,0.01
367842.281,2531944,1355.46,0.183,0.01
367842.281,2532044,1342.83,0.413,0.01
367842.281,2532144,1323.62,0.448,0.01
367842.281,2532244,1308.48,0.159,0.01
367842.281,2532344,1306.25,0.004,0.01
367842.281,2532444,1309.96,0.038,0.01
367842.281,2532544,1314.09,0.106,0.01
367842.281,2532644,1318.57,0.121,0.01
367842.281,2532744,1336.36,0.098,0.01
367842.281,2532844,1367.23,0.095,0.01
367842.281,2532944,1395.36,-0.001,0.01
367942.281,2531844,1373.36,-0.232,0.01
367942.281,2531944,1355.51,0.226,0.01
367942.281,2532044,1335.64,0.764,0.01
367942.281,2532144,1314.77,0.527,0.01
367942.281,2532244,1304.28,-0.027,0.01
367942.281,2532344,1304.79,-0.172,0.01
367942.281,2532444,1306.96,-0.008,0.01
367942.281,2532544,1309.67,0.209,0.01
367942.281,2532644,1315.62,0.39,0.01
367942.281,2532744,1328.02,0.325,0.01
367942.281,2532844,1345.34,-0.088,0.01
367942.281,2532944,1370.27,-0.336,0.01
368042.281,2531844,1377.22,-0.145,0.01
368042.281,2531944,1349.09,0.276,0.01
368042.281,2532044,1324.99,0.545,0.01
368042.281,2532144,1308.14,0.194,0.01
368042.281,2532244,1303.27,-0.237,0.01
368042.281,2532344,1304.75,-0.228,0.01
368042.281,2532444,1305.25,0.027,0.01
368042.281,2532544,1307.07,0.309,0.01
368042.281,2532644,1312.94,0.446,0.01
368042.281,2532744,1321.03,0.173,0.01
368042.281,2532844,1330.95,-0.559,0.01
368042.281,2532944,1357.41,-1.023,0.01
368142.281,2531844,1377.22,0.094,0.01
368142.281,2531944,1341.37,-0.039,0.01
368142.281,2532044,1317.92,-0.254,0.01
368142.281,2532144,1306.19,-0.253,0.01
368142.281,2532244,1304.04,-0.289,0.01
368142.281,2532344,1305.05,-0.21,0.01
368142.281,2532444,1305.88,0.056,0.01
368142.281,2532544,1306.93,0.311,0.01
368142.281,2532644,1309.84,0.341,0.01
368142.281,2532744,1315.03,-0.123,0.01
368142.281,2532844,1324.17,-1.254,0.01
368142.281,2532944,1356.46,-1.979,0.01
368242.281,2531844,1375.16,-0.079,0.01
368242.281,2531944,1341.65,-0.242,0.01
368242.281,2532044,1317.99,-0.27,0.01
368242.281,2532144,1305.45,-0.257,0.01
368242.281,2532244,1303.97,-0.337,0.01
368242.281,2532344,1305.8,-0.276,0.01
368242.281,2532444,1306.01,0.002,0.01
368242.281,2532544,1306.9,0.246,0.01
368242.281,2532644,1308.61,0.283,0.01
368242.281,2532744,1310.69,-0.166,0.01
368242.281,2532844,1320.31,-1.342,0.01
368242.281,2532944,1358.44,-2.062,0.01
368342.281,2531844,1378.55,-0.73,0.01
368342.281,2531944,1352.07,-0.263,0.01
368342.281,2532044,1324.29,0.462,0.01
368342.281,2532144,1305.93,0.156,0.01
368342.281,2532244,1304.43,-0.387,0.01
368342.281,2532344,1306.24,-0.381,0.01
368342.281,2532444,1307.23,-0.059,0.01
368342.281,2532544,1307.43,0.193,0.01
368342.281,2532644,1308.63,0.35,0.01
368342.281,2532744,1309.73,0.177,0.01
368342.281,2532844,1322.31,-0.361,0.01
368342.281,2532944,1360.2,-0.566,0.01
368442.281,2531844,1382.61,-0.902,0.01
368442.281,2531944,1358.24,-0.234,0.01
368442.281,2532044,1328.06,0.703,0.01
368442.281,2532144,1306.44,0.407,0.01
368442.281,2532244,1304.56,-0.209,0.01
368442.281,2532344,1306.6,-0.274,0.01
368442.281,2532444,1308.44,-0.058,0.01
368442.281,2532544,1309.11,0.153,0.01
368442.281,2532644,1311.67,0.303,0.01
368442.281,2532744,1314.15,0.264,0.01
368442.281,2532844,1326.34,0.096,0.01
368442.281,2532944,1355.9,0.159,0.01
368542.281,2531844,1387.14,-0.538,0.01
368542.281,2531944,1356.82,-0.111,0.01
368542.281,2532044,1326.1,0.589,0.01
368542.281,2532144,1306.61,0.487,0.01
368542.281,2532244,1304.25,0.126,0.01
368542.281,2532344,1305.86,-0.018,0.01
368542.281,2532444,1309.05,0.049,0.01
368542.281,2532544,1310.59,0.074,0.01
368542.281,2532644,1313.78,-0.037,0.01
368542.281,2532744,1317.31,-0.121,0.01
368542.281,2532844,1326.28,0.053,0.01
368542.281,2532944,1344.44,0.276,0.01
368642.281,2531844,1394.72,-0.332,0.01
368642.281,2531944,1358.01,0.02,0.01
368642.281,2532044,1325.64,0.444,0.01
368642.281,2532144,1309.93,0.355,0.01
368642.281,2532244,1306.71,0.17,0.01
368642.281,2532344,1305.76,0.056,0.01
368642.281,2532444,1308.05,0.106,0.01
368642.281,2532544,1310.1,0.043,0.01
368642.281,2532644,1315.27,-0.199,0.01
368642.281,2532744,1322.91,-0.342,0.01
368642.281,2532844,1329.3,-0.14,0.01
368642.281,2532944,1337.84,0.04,0.01
368742.281,2531844,1400.99,-0.35,0.01
368742.281,2531944,1366.43,-0.121,0.01
368742.281,2532044,1331.14,0.026,0.01
368742.281,2532144,1315.73,-0.015,0.01
368742.281,2532244,1312.19,-0.145,0.01
368742.281,2532344,1309.62,-0.116,0.01
368742.281,2532444,1309.42,0.152,0.01
368742.281,2532544,1314.71,0.16,0.01
368742.281,2532644,1326.99,-0.016,0.01
368742.281,2532744,1339.74,-0.228,0.01
368742.281,2532844,1343.84,-0.413,0.01
368742.281,2532944,1347.19,-0.519,0.01
368842.281,2531844,1394.5,-0.357,0.01
368842.281,2531944,1373.21,-0.232,0.01
368842.281,2532044,1339.95,-0.139,0.01
368842.281,2532144,1322.75,-0.18,0.01
368842.281,2532244,1319.51,-0.37,0.01
368842.281,2532344,1318.96,-0.265,0.01
368842.281,2532444,1323.82,0.098,0.01
368842.281,2532544,1337.03,0.087,0.01
368842.281,2532644,1352.92,0.033,0.01
368842.281,2532744,1359.39,-0.135,0.01
368842.281,2532844,1357.01,-0.529,0.01
368842.281,2532944,1356.46,-0.816,0.01
368942.281,2531844,1380.21,-0.121,0.01
368942.281,2531944,1368.94,0.082,0.01
368942.281,2532044,1345.19,0.413,0.01
368942.281,2532144,1331.37,0.093,0.01
368942.281,2532244,1332.67,-0.493,0.01
368942.281,2532344,1341.05,-0.595,0.01
368942.281,2532444,1351.33,-0.5,0.01
368942.281,2532544,1359.07,-0.299,0.01
368942.281,2532644,1362.51,0.155,0.01
368942.281,2532744,1362.68,0.208,0.01
368942.281,2532844,1359.87,-0.104,0.01
368942.281,2532944,1358.84,-0.336,0.01
369042.281,2531844,1372.51,0.142,0.01
369042.281,2531944,1365.85,0.552,0.01
369042.281,2532044,1350.46,1.069,0.01
369042.281,2532144,1339.65,0.295,0.01
369042.281,2532244,1340.63,-0.661,0.01
369042.281,2532344,1346.27,-0.828,0.01
369042.281,2532444,1350.19,-0.894,0.01
369042.281,2532544,1353.45,-0.399,0.01
369042.281,2532644,1355.39,0.533,0.01
369042.281,2532744,1355.41,0.645,0.01
369042.281,2532844,1354.69,0.366,0.01
369042.281,2532944,1355.39,0.178,0.01
369142.281,2531844,1365.18,0.394,0.01
369142.281,2531944,1366.59,0.383,0.01
369142.281,2532044,1361.55,0.408,0.01
369142.281,2532144,1348.7,0.146,0.01
369142.281,2532244,1340.92,-0.313,0.01
369142.281,2532344,1341.69,-0.442,0.01
369142.281,2532444,1344.11,-0.307,0.01
369142.281,2532544,1345.57,-0.037,0.01
369142.281,2532644,1347.92,0.308,0.01
369142.281,2532744,1348.24,0.392,0.01
369142.281,2532844,1348.66,0.248,0.01
369142.281,2532944,1349.65,0.101,0.01
369242.281,2531844,1358.08,0.461,0.01
369242.281,2531944,1359.75,0.081,0.01
369242.281,2532044,1359.12,-0.324,0.01
369242.281,2532144,1347.34,-0.108,0.01
369242.281,2532244,1337.92,0.001,0.01
369242.281,2532344,1337.95,-0.001,0.01
369242.281,2532444,1338.93,0.428,0.01
369242.281,2532544,1340.12,0.327,0.01
369242.281,2532644,1342.17,0.07,0.01
369242.281,2532744,1342.98,0.001,0.01
369242.281,2532844,1344.09,-0.097,0.01
369242.281,2532944,1345.67,-0.223,0.01
369342.281,2531844,1351.06,0.281,0.01
369342.281,2531944,1349.24,0.137,0.01
369342.281,2532044,1347.18,-0.021,0.01
369342.281,2532144,1339.52,-0.095,0.01
369342.281,2532244,1334.67,-0.159,0.01
369342.281,2532344,1335.4,-0.044,0.01
369342.281,2532444,1335.57,0.164,0.01
369342.281,2532544,1336.53,0.181,0.01
369342.281,2532644,1337.58,0.072,0.01
369342.281,2532744,1338.9,-0.044,0.01
369342.281,2532844,1340.77,-0.117,0.01
369342.281,2532944,1342.89,-0.149,0.01
