x_utm,y_utm,z_dem,anom_CBRes_terr[mGal],std_dev[mGal]
368260.02,2532272.27,1304.53,-0.96,0.01
367392.29,2532642.05,1350.8,-0.84,0.01
367427.8,2532608.53,1348.19,-0.46,0.01
367458.35,2532594.86,1346.37,-0.72,0.01
367506.17,2532595.88,1342.86,-0.34,0.01
367551.82,2532584.29,1336.75,-0.73,0.01
367590.66,2532557.16,1330.99,0.28,0.01
367635.97,2532529.3,1323.98,0.59,0.01
367683.86,2532515.92,1318.25,-0.44,0.01
367739.04,2532515.22,1315.15,-0.17,0.01
367754.95,2532468.36,1312.23,0.05,0.01
367776.63,2532425.43,1310.33,0.36,0.01
367801.7,2532383.57,1308.21,0.13,0.01
367836.11,2532340.87,1306.41,0.15,0.01
367872.73,2532305.56,1305.31,-0.03,0.01
367924.05,2532296.8,1304.37,-0.12,0.01
367964.12,2532269.21,1303.44,-0.57,0.01
368012.85,2532257.27,1303.15,-0.89,0.01
368064.72,2532263.68,1303.23,-0.9,0.01
368112.63,2532275.66,1303.73,-0.86,0.01
368159.21,2532265.29,1304.04,-0.92,0.01
368211.3,2532261.85,1304.04,-0.94,0.01
368260.02,2532272.27,1304.53,-0.96,0.01
368302.16,2532258.07,1304.35,-1.13,0.01
368355.29,2532268.45,1304.75,-1.03,0.01
368405.78,2532258.38,1304.68,-1.04,0.01
368460.65,2532257.02,1304.64,-1.03,0.01
368510.78,2532265,1304.42,-1.17,0.01
368565.92,2532271.6,1304.11,-0.99,0.01
368621.59,2532277.76,1304.97,-1.03,0.01
368660.18,2532256.16,1307.18,-0.94,0.01
368712.79,2532254.94,1310.34,-0.15,0.01
368767.72,2532237.19,1313.69,0.29,0.01
368826.39,2532234.46,1318.06,-0.11,0.01
368872.38,2532215.68,1323.25,0.51,0.01
368919.35,2532190.69,1328.14,0.1,0.01
368964.14,2532161.4,1332.83,-0.35,0.01
369014.1,2532137.05,1337.86,0.18,0.01
369073.96,2532144.28,1342.34,0.87,0.01
369121.6,2532159.92,1345.29,-0.01,0.01
369173.15,2532166.35,1346.48,0.06,0.01
369226.05,2532174.41,1343.8,0.82,0.01
369278.98,2532184.25,1339.45,0.48,0.01
368492.92,2532830.08,1325.21,0.59,0.01
368456.66,2532799.83,1319.85,0.43,0.01
368407.52,2532787.64,1315.96,0.53,0.01
368386.56,2532832,1321.02,0.72,0.01
368342.5,2532837.14,1320.84,0.13,0.01
368300.15,2532816.04,1315.68,-0.28,0.01
368262.86,2532786.46,1313.06,-0.52,0.01
368218.12,2532750.09,1311.78,-0.56,0.01
368181.56,2532708.89,1311.22,-1.19,0.01
368151.7,2532673.49,1310.72,-0.65,0.01
368119.42,2532630.93,1309.66,-0.83,0.01
368076.42,2532605.28,1309.4,-0.66,0.01
368027.19,2532606.38,1310.31,-0.55,0.01
367986.11,2532566.09,1309.04,-0.2,0.01
367968.03,2532516.98,1308.02,-0.37,0.01
367927.1,2532492.43,1308.63,-0.05,0.01
367956.45,2532446.44,1306.67,-0.11,0.01
367982.9,2532410,1305.36,-0.14,0.01
368047.04,2532401.24,1304.88,-0.13,0.01
368151.88,2532412.62,1305.72,-0.49,0.01
368207.8,2532354.33,1305.56,-0.67,0.01
368378.23,2532111.25,1309.2,-0.07,0.01
368343.89,2532149.86,1305.53,-0.63,0.01
368312.98,2532193.97,1304.22,-1,0.01
368286.17,2532236.72,1304.04,-1.03,0.01
368253.46,2532285.17,1304.8,-0.91,0.01
368217.09,2532326.02,1305.35,-0.7,0.01
368198.22,2532373.91,1305.65,-0.66,0.01
368162.83,2532408.31,1305.72,-0.53,0.01
368141.27,2532454.56,1305.93,-0.52,0.01
368127.03,2532504.41,1306.27,-0.42,0.01
368114.84,2532552.9,1307.05,-0.15,0.01
368087.73,2532596.44,1308.69,-0.57,0.01
368045.53,2532627.47,1311.61,-0.69,0.01
368008.83,2532665.99,1315,-0.36,0.01
367984.72,2532712.16,1319.92,0.04,0.01
367965.36,2532750.53,1326.81,1.22,0.01
368481.93,2532803.59,1321.46,0.58,0.01
368430.69,2532810.68,1320.09,0.51,0.01
368394.99,2532775.24,1314.07,0.49,0.01
368375.73,2532730.34,1310.27,-0.22,0.01
368355.41,2532682.68,1308.97,-0.47,0.01
368332.02,2532635.6,1308.44,-0.28,0.01
368313.86,2532587.93,1307.71,-0.07,0.01
368311.65,2532534.8,1307.12,0.15,0.01
368262.11,2532523.39,1306.72,-0.1,0.01
368230.19,2532487.13,1306.3,-0.33,0.01
368271.52,2532461.73,1306.27,-0.08,0.01
368299.99,2532420.19,1306.46,-0.07,0.01
368287.55,2532371.13,1306.22,-0.31,0.01
368272.76,2532322.32,1305.83,-0.52,0.01
368255.19,2532271.99,1304.49,-0.95,0.01
368239.07,2532222.96,1303.85,-0.75,0.01
368224.58,2532173.15,1304.32,-0.55,0.01
368217.89,2532123.49,1306.85,-0.18,0.01
368212.95,2532074.6,1312.33,0.72,0.01
368202.26,2532025.31,1320.32,-0.55,0.01
368198.01,2531973.85,1331.75,-1.14,0.01
368239.7,2531942.27,1342.05,1.04,0.01
368264.72,2531894.1,1357.99,0.08,0.01
368452.39,2532251.88,1304.61,-0.95,0.01
368466.64,2532203.04,1304.71,-0.76,0.01
368465.48,2532152.56,1305.79,0.02,0.01
368434.06,2532113.41,1310,0.35,0.01
368386.19,2532094.67,1311.89,0.08,0.01
368335.79,2532091.9,1311.95,-0.33,0.01
368286.62,2532087.46,1311.8,-0.23,0.01
368237.54,2532083.01,1311.43,1.13,0.01
368187.45,2532080.24,1311.6,0.79,0.01
368139.2,2532075.79,1313.16,1.33,0.01
368089.93,2532072.57,1315.57,1.4,0.01
368039.3,2532067.7,1319.97,1.53,0.01
367990.01,2532072.89,1323.94,1.03,0.01
367939.41,2532081.97,1326.77,1.76,0.01
367889.35,2532082.73,1331.54,1.12,0.01
367839.34,2532076.64,1337.07,0.41,0.01
367788.12,2532073.1,1341.67,0.18,0.01
367740.87,2532089.91,1342.79,-0.44,0.01
367693.5,2532105.04,1343.54,-0.38,0.01
367714.71,2532091.57,1344.34,-0.77,0.01
367762.62,2532079.41,1342.59,0.43,0.01
367811.22,2532063.71,1341.55,0.26,0.01
