x_m,y_m,z_dem,gv_terr_anomCBRes_mGal,std_dev[mGal]
367442.281,2532444,1343.85,-0.26,0.01
367442.281,2532544,1345.55,-0.51,0.01
367442.281,2532644,1349.13,-0.37,0.01
367442.281,2532744,1353.75,-0.12,0.01
367542.281,2532144,1342.57,-0.26,0.01
367542.281,2532444,1333.71,0.08,0.01
367542.281,2532544,1336.15,-0.06,0.01
367542.281,2532644,1340.85,-0.4,0.01
367542.281,2532744,1348.05,0.11,0.01
367642.281,2531944,1353.87,-0.79,0.01
367642.281,2532044,1348.31,-0.41,0.01
367642.281,2532144,1339.99,-0.27,0.01
367642.281,2532244,1327.91,-0.32,0.01
367642.281,2532344,1319.42,-0.1,0.01
367642.281,2532444,1319.44,0.06,0.01
367642.281,2532544,1323.9,0.35,0.01
367642.281,2532644,1330.57,-0.18,0.01
367642.281,2532744,1342.3,0.13,0.01
367742.281,2531944,1355.78,-0.31,0.01
367742.281,2532044,1348.01,-0.33,0.01
367742.281,2532144,1333.57,-0.39,0.01
367742.281,2532244,1316.83,-0.39,0.01
367742.281,2532344,1309.27,-0.05,0.01
367742.281,2532444,1311.49,0.1,0.01
367742.281,2532544,1316.56,-0.19,0.01
367742.281,2532644,1323.76,-0.12,0.01
367742.281,2532744,1341.03,0.12,0.01
367842.281,2531944,1355.46,0.12,0.01
367842.281,2532044,1342.83,0.44,0.01
367842.281,2532144,1323.62,0.26,0.01
367842.281,2532244,1308.48,-0.06,0.01
367842.281,2532344,1306.25,0.19,0.01
367842.281,2532444,1309.96,0.42,0.01
367842.281,2532544,1314.09,0.06,0.01
367842.281,2532644,1318.57,-0.14,0.01
367842.281,2532744,1336.36,0.29,0.01
367942.281,2531944,1355.51,0.41,0.01
367942.281,2532044,1335.64,1.31,0.01
367942.281,2532144,1314.77,1.08,0.01
367942.281,2532244,1304.28,-0.21,0.01
367942.281,2532344,1304.79,-0.14,0.01
367942.281,2532444,1306.96,-0.05,0.01
367942.281,2532544,1309.67,-0.27,0.01
367942.281,2532644,1315.62,-0.2,0.01
