x_utm,y_utm,z_utm,aCT_RP_Res_nT,Std_dev[nT]
368260.02,2532272.27,1304.533167,-0.527298476,0.1
367392.29,2532642.05,1350.801373,324.5959538,0.1
367427.8,2532608.53,1348.194591,471.2666557,0.1
367458.35,2532594.86,1346.365057,581.58208,0.1
367506.17,2532595.88,1342.861295,729.2308971,0.1
367551.82,2532584.29,1336.748547,669.7728183,0.1
367590.66,2532557.16,1330.993985,580.920286,0.1
367635.97,2532529.3,1323.976062,393.8987704,0.1
367683.86,2532515.92,1318.246892,251.2078475,0.1
367739.04,2532515.22,1315.147303,141.7255194,0.1
367754.95,2532468.36,1312.227532,97.10507083,0.1
367776.63,2532425.43,1310.330215,66.40564897,0.1
367801.7,2532383.57,1308.213584,39.77311033,0.1
367836.11,2532340.87,1306.406445,4.487156818,0.1
367872.73,2532305.56,1305.314736,-37.2138707,0.1
367924.05,2532296.8,1304.371783,-74.8035902,0.1
367964.12,2532269.21,1303.441908,-119.3898119,0.1
368012.85,2532257.27,1303.152119,-119.5389748,0.1
368064.72,2532263.68,1303.227633,-82.21287546,0.1
368112.63,2532275.66,1303.726357,-48.48764412,0.1
368159.21,2532265.29,1304.042893,-43.64557241,0.1
368211.3,2532261.85,1304.04019,-37.37293905,0.1
368302.16,2532258.07,1304.346766,18.66712625,0.1
368355.29,2532268.45,1304.754913,81.81992701,0.1
368405.78,2532258.38,1304.68122,99.46647488,0.1
368460.65,2532257.02,1304.63532,84.52182656,0.1
368510.78,2532265,1304.421423,64.91291298,0.1
368565.92,2532271.6,1304.110297,45.50842985,0.1
368621.59,2532277.76,1304.969749,34.21789205,0.1
368660.18,2532256.16,1307.183771,27.21653741,0.1
368712.79,2532254.94,1310.340182,31.76104173,0.1
368767.72,2532237.19,1313.694864,36.88342138,0.1
368826.39,2532234.46,1318.060817,49.75841637,0.1
368872.38,2532215.68,1323.249068,58.19155509,0.1
368919.35,2532190.69,1328.137225,95.98619705,0.1
368964.14,2532161.4,1332.82868,172.754047,0.1
369014.1,2532137.05,1337.85561,221.9571661,0.1
369073.96,2532144.28,1342.344514,236.4695223,0.1
369121.6,2532159.92,1345.28655,241.4515802,0.1
369173.15,2532166.35,1346.47509,218.8308156,0.1
369226.05,2532174.41,1343.797554,166.7159906,0.1
369278.98,2532184.25,1339.445046,111.2870114,0.1
368492.92,2532830.08,1325.210122,78.83365707,0.1
368456.66,2532799.83,1319.854597,128.9947591,0.1
368407.52,2532787.64,1315.961383,189.2618112,0.1
368386.56,2532832,1321.016978,155.5380772,0.1
368342.5,2532837.14,1320.844827,151.9278644,0.1
368300.15,2532816.04,1315.681876,172.8905183,0.1
368262.86,2532786.46,1313.062757,200.553019,0.1
368218.12,2532750.09,1311.784654,207.2291132,0.1
368181.56,2532708.89,1311.218492,194.0051894,0.1
368151.7,2532673.49,1310.718449,209.7054209,0.1
368119.42,2532630.93,1309.659192,251.7715833,0.1
368076.42,2532605.28,1309.402746,247.9416967,0.1
368027.19,2532606.38,1310.306534,171.4701634,0.1
367986.11,2532566.09,1309.035882,126.0420983,0.1
367968.03,2532516.98,1308.021152,114.3695683,0.1
367927.1,2532492.43,1308.627751,87.50833633,0.1
367956.45,2532446.44,1306.665137,93.96822397,0.1
367982.9,2532410,1305.362309,59.95293312,0.1
368047.04,2532401.24,1304.883228,65.06384477,0.1
368151.88,2532412.62,1305.716963,150.4929374,0.1
368207.8,2532354.33,1305.563869,102.7832831,0.1
368378.23,2532111.25,1309.204622,-69.67221857,0.1
368343.89,2532149.86,1305.525558,-89.91686267,0.1
368312.98,2532193.97,1304.224309,-68.82104985,0.1
368286.17,2532236.72,1304.038214,-28.76761609,0.1
368217.09,2532326.02,1305.345249,59.86752054,0.1
368198.22,2532373.91,1305.648303,130.9283053,0.1
368162.83,2532408.31,1305.722239,154.6860501,0.1
368141.27,2532454.56,1305.929814,195.5139934,0.1
368127.03,2532504.41,1306.267804,239.6118349,0.1
368114.84,2532552.9,1307.049168,274.8195205,0.1
368087.73,2532596.44,1308.692798,270.8373883,0.1
368045.53,2532627.47,1311.606184,180.077007,0.1
368008.83,2532665.99,1315.002986,102.9906284,0.1
367984.72,2532712.16,1319.91554,55.42227844,0.1
367965.36,2532750.53,1326.809621,34.61676699,0.1
368481.93,2532803.59,1321.463201,96.92911328,0.1
368430.69,2532810.68,1320.092518,148.2792506,0.1
368394.99,2532775.24,1314.069378,209.4693245,0.1
368375.73,2532730.34,1310.265989,234.5450902,0.1
368355.41,2532682.68,1308.970095,228.691204,0.1
368332.02,2532635.6,1308.442427,205.5965286,0.1
368313.86,2532587.93,1307.709094,186.709479,0.1
