 x[m],y[m],z[m],mg[nT],Std_dev[nT]
-37.5,-37.5,0.01,-2.46E+00,0.1
-37.5,-32.5,0.01,-3.32E+00,0.1
-37.5,-27.5,0.01,-3.33E+00,0.1
-37.5,-22.5,0.01,-3.51E+00,0.1
-37.5,-17.5,0.01,-4.15E+00,0.1
-37.5,-12.5,0.01,-4.46E+00,0.1
-37.5,-7.5,0.01,-4.27E+00,0.1
-37.5,-2.5,0.01,-5.01E+00,0.1
-37.5,2.5,0.01,-4.95E+00,0.1
-37.5,7.5,0.01,-4.10E+00,0.1
-37.5,12.5,0.01,-4.10E+00,0.1
-37.5,17.5,0.01,-3.66E+00,0.1
-37.5,22.5,0.01,-3.34E+00,0.1
-37.5,27.5,0.01,-2.94E+00,0.1
-37.5,32.5,0.01,-2.59E+00,0.1
-37.5,37.5,0.01,-2.32E+00,0.1
-37.5,42.5,0.01,-1.97E+00,0.1
-37.5,47.5,0.01,-1.71E+00,0.1
-37.5,52.5,0.01,-2.05E+00,0.1
-37.5,57.5,0.01,-1.13E+00,0.1
-37.5,62.5,0.01,-1.63E+00,0.1
-37.5,67.5,0.01,-1.49E+00,0.1
-37.5,72.5,0.01,-6.60E-01,0.1
-37.5,77.5,0.01,-1.13E+00,0.1
-37.5,82.5,0.01,-8.01E-01,0.1
-37.5,87.5,0.01,-3.15E-01,0.1
-37.5,92.5,0.01,-9.48E-01,0.1
-37.5,97.5,0.01,-8.85E-01,0.1
-37.5,102.5,0.01,-5.53E-01,0.1
-37.5,107.5,0.01,-3.76E-01,0.1
-37.5,112.5,0.01,-4.19E-01,0.1
-37.5,117.5,0.01,-7.60E-01,0.1
-32.5,-37.5,0.01,-3.08E+00,0.1
-32.5,-32.5,0.01,-3.59E+00,0.1
-32.5,-27.5,0.01,-3.55E+00,0.1
-32.5,-22.5,0.01,-3.71E+00,0.1
-32.5,-17.5,0.01,-4.69E+00,0.1
-32.5,-12.5,0.01,-4.86E+00,0.1
-32.5,-7.5,0.01,-4.80E+00,0.1
-32.5,-2.5,0.01,-5.21E+00,0.1
-32.5,2.5,0.01,-5.51E+00,0.1
-32.5,7.5,0.01,-5.30E+00,0.1
-32.5,12.5,0.01,-5.04E+00,0.1
-32.5,17.5,0.01,-4.63E+00,0.1
-32.5,22.5,0.01,-4.11E+00,0.1
-32.5,27.5,0.01,-3.70E+00,0.1
-32.5,32.5,0.01,-3.04E+00,0.1
-32.5,37.5,0.01,-3.01E+00,0.1
-32.5,42.5,0.01,-2.09E+00,0.1
-32.5,47.5,0.01,-1.72E+00,0.1
-32.5,52.5,0.01,-1.45E+00,0.1
-32.5,57.5,0.01,-1.96E+00,0.1
-32.5,62.5,0.01,-1.28E+00,0.1
-32.5,67.5,0.01,-1.58E+00,0.1
-32.5,72.5,0.01,-1.45E+00,0.1
-32.5,77.5,0.01,-1.36E+00,0.1
-32.5,82.5,0.01,-5.10E-01,0.1
-32.5,87.5,0.01,-8.02E-01,0.1
-32.5,92.5,0.01,-2.26E-01,0.1
-32.5,97.5,0.01,-7.61E-01,0.1
-32.5,102.5,0.01,-1.69E-01,0.1
-32.5,107.5,0.01,-4.01E-01,0.1
-32.5,112.5,0.01,-7.58E-01,0.1
-32.5,117.5,0.01,-5.37E-01,0.1
-27.5,-37.5,0.01,-3.19E+00,0.1
-27.5,-32.5,0.01,-3.42E+00,0.1
-27.5,-27.5,0.01,-3.34E+00,0.1
-27.5,-22.5,0.01,-4.26E+00,0.1
-27.5,-17.5,0.01,-4.57E+00,0.1
-27.5,-12.5,0.01,-5.31E+00,0.1
-27.5,-7.5,0.01,-5.12E+00,0.1
-27.5,-2.5,0.01,-5.00E+00,0.1
-27.5,2.5,0.01,-4.93E+00,0.1
-27.5,7.5,0.01,-5.45E+00,0.1
-27.5,12.5,0.01,-5.07E+00,0.1
-27.5,17.5,0.01,-4.27E+00,0.1
-27.5,22.5,0.01,-4.07E+00,0.1
-27.5,27.5,0.01,-3.43E+00,0.1
-27.5,32.5,0.01,-3.37E+00,0.1
-27.5,37.5,0.01,-2.86E+00,0.1
-27.5,42.5,0.01,-2.98E+00,0.1
-27.5,47.5,0.01,-1.96E+00,0.1
-27.5,52.5,0.01,-1.73E+00,0.1
