 x[m],y[m],z[m],mg[nT],Std_dev[nT]
    25.000,     25.000,     0.010, 0.2988E+02,  0.100
    25.000,     75.000,     0.010, 0.3422E+02,  0.100
    25.000,    125.000,     0.010, 0.3582E+02,  0.100
    25.000,    175.000,     0.010, 0.3282E+02,  0.100
    25.000,    225.000,     0.010, 0.2530E+02,  0.100
    25.000,    275.000,     0.010, 0.1541E+02,  0.100
    25.000,    325.000,     0.010, 0.5865E+01,  0.100
    25.000,    375.000,     0.010,-0.7021E+00,  0.100
    25.000,    425.000,     0.010,-0.2562E+01,  0.100
    25.000,    475.000,     0.010,-0.3077E+00,  0.100
    25.000,    525.000,     0.010, 0.3501E+01,  0.100
    25.000,    575.000,     0.010, 0.6315E+01,  0.100
    25.000,    625.000,     0.010, 0.6697E+01,  0.100
    25.000,    675.000,     0.010, 0.4402E+01,  0.100
    25.000,    725.000,     0.010, 0.9134E-01,  0.100
    25.000,    775.000,     0.010,-0.5063E+01,  0.100
    25.000,    825.000,     0.010,-0.9809E+01,  0.100
    25.000,    875.000,     0.010,-0.1320E+02,  0.100
    25.000,    925.000,     0.010,-0.1486E+02,  0.100
    25.000,    975.000,     0.010,-0.1499E+02,  0.100
    75.000,     25.000,     0.010, 0.4177E+02,  0.100
    75.000,     75.000,     0.010, 0.5149E+02,  0.100
    75.000,    125.000,     0.010, 0.5795E+02,  0.100
    75.000,    175.000,     0.010, 0.5602E+02,  0.100
    75.000,    225.000,     0.010, 0.4492E+02,  0.100
    75.000,    275.000,     0.010, 0.2876E+02,  0.100
    75.000,    325.000,     0.010, 0.1196E+02,  0.100
    75.000,    375.000,     0.010,-0.9292E+00,  0.100
    75.000,    425.000,     0.010,-0.5332E+01,  0.100
    75.000,    475.000,     0.010,-0.1615E+01,  0.100
    75.000,    525.000,     0.010, 0.4957E+01,  0.100
    75.000,    575.000,     0.010, 0.9866E+01,  0.100
    75.000,    625.000,     0.010, 0.1107E+02,  0.100
    75.000,    675.000,     0.010, 0.8355E+01,  0.100
    75.000,    725.000,     0.010, 0.2761E+01,  0.100
    75.000,    775.000,     0.010,-0.4057E+01,  0.100
    75.000,    825.000,     0.010,-0.1036E+02,  0.100
    75.000,    875.000,     0.010,-0.1483E+02,  0.100
    75.000,    925.000,     0.010,-0.1697E+02,  0.100
    75.000,    975.000,     0.010,-0.1710E+02,  0.100
   125.000,     25.000,     0.010, 0.5506E+02,  0.100
   125.000,     75.000,     0.010, 0.7306E+02,  0.100
   125.000,    125.000,     0.010, 0.8880E+02,  0.100
   125.000,    175.000,     0.010, 0.9043E+02,  0.100
   125.000,    225.000,     0.010, 0.7485E+02,  0.100
   125.000,    275.000,     0.010, 0.5035E+02,  0.100
   125.000,    325.000,     0.010, 0.2305E+02,  0.100
   125.000,    375.000,     0.010,-0.6285E+00,  0.100
   125.000,    425.000,     0.010,-0.1010E+02,  0.100
   125.000,    475.000,     0.010,-0.4355E+01,  0.100
   125.000,    525.000,     0.010, 0.5903E+01,  0.100
   125.000,    575.000,     0.010, 0.1330E+02,  0.100
   125.000,    625.000,     0.010, 0.1537E+02,  0.100
   125.000,    675.000,     0.010, 0.1218E+02,  0.100
   125.000,    725.000,     0.010, 0.5224E+01,  0.100
   125.000,    775.000,     0.010,-0.3302E+01,  0.100
   125.000,    825.000,     0.010,-0.1115E+02,  0.100
   125.000,    875.000,     0.010,-0.1666E+02,  0.100
   125.000,    925.000,     0.010,-0.1922E+02,  0.100
   125.000,    975.000,     0.010,-0.1928E+02,  0.100
   175.000,     25.000,     0.010, 0.6599E+02,  0.100
   175.000,     75.000,     0.010, 0.9224E+02,  0.100
   175.000,    125.000,     0.010, 0.1181E+03,  0.100
   175.000,    175.000,     0.010, 0.1235E+03,  0.100
   175.000,    225.000,     0.010, 0.1029E+03,  0.100
   175.000,    275.000,     0.010, 0.7028E+02,  0.100
   175.000,    325.000,     0.010, 0.3271E+02,  0.100
   175.000,    375.000,     0.010,-0.2163E+01,  0.100
   175.000,    425.000,     0.010,-0.1644E+02,  0.100
   175.000,    475.000,     0.010,-0.7676E+01,  0.100
   175.000,    525.000,     0.010, 0.6578E+01,  0.100
   175.000,    575.000,     0.010, 0.1626E+02,  0.100
   175.000,    625.000,     0.010, 0.1896E+02,  0.100
   175.000,    675.000,     0.010, 0.1519E+02,  0.100
   175.000,    725.000,     0.010, 0.6931E+01,  0.100
   175.000,    775.000,     0.010,-0.3132E+01,  0.100
   175.000,    825.000,     0.010,-0.1231E+02,  0.100
   175.000,    875.000,     0.010,-0.1866E+02,  0.100
   175.000,    925.000,     0.010,-0.2150E+02,  0.100
   175.000,    975.000,     0.010,-0.2142E+02,  0.100
   225.000,     25.000,     0.010, 0.7018E+02,  0.100
   225.000,     75.000,     0.010, 0.9982E+02,  0.100
   225.000,    125.000,     0.010, 0.1293E+03,  0.100
   225.000,    175.000,     0.010, 0.1346E+03,  0.100
   225.000,    225.000,     0.010, 0.1102E+03,  0.100
   225.000,    275.000,     0.010, 0.7311E+02,  0.100
   225.000,    325.000,     0.010, 0.3106E+02,  0.100
   225.000,    375.000,     0.010,-0.7712E+01,  0.100
   225.000,    425.000,     0.010,-0.2190E+02,  0.100
   225.000,    475.000,     0.010,-0.9590E+01,  0.100
   225.000,    525.000,     0.010, 0.7679E+01,  0.100
   225.000,    575.000,     0.010, 0.1876E+02,  0.100
