 x[m],y[m],z[m],mg[nT],Std_dev[nT]
    25.000,     25.000,     0.010, 0.2004E+02,  0.100
    25.000,     75.000,     0.010, 0.4752E+02,  0.100
    25.000,    125.000,     0.010, 0.2908E+02,  0.100
    25.000,    175.000,     0.010, 0.3975E+02,  0.100
    25.000,    225.000,     0.010, 0.3115E+02,  0.100
    25.000,    275.000,     0.010, 0.3047E+02,  0.100
    25.000,    325.000,     0.010,-0.8517E+01,  0.100
    25.000,    375.000,     0.010,-0.1748E+02,  0.100
    25.000,    425.000,     0.010, 0.6600E+01,  0.100
    25.000,    475.000,     0.010,-0.1073E+02,  0.100
    25.000,    525.000,     0.010,-0.1527E+02,  0.100
    25.000,    575.000,     0.010, 0.2513E+02,  0.100
    25.000,    625.000,     0.010, 0.2113E+02,  0.100
    25.000,    675.000,     0.010,-0.3657E+00,  0.100
    25.000,    725.000,     0.010, 0.1335E+02,  0.100
    25.000,    775.000,     0.010,-0.2393E+02,  0.100
    25.000,    825.000,     0.010, 0.7329E+00,  0.100
    25.000,    875.000,     0.010,-0.2010E+02,  0.100
    25.000,    925.000,     0.010,-0.1679E+02,  0.100
    25.000,    975.000,     0.010,-0.1349E+02,  0.100
    75.000,     25.000,     0.010, 0.5678E+02,  0.100
    75.000,     75.000,     0.010, 0.6717E+02,  0.100
    75.000,    125.000,     0.010, 0.4018E+02,  0.100
    75.000,    175.000,     0.010, 0.3935E+02,  0.100
    75.000,    225.000,     0.010, 0.5649E+02,  0.100
    75.000,    275.000,     0.010, 0.2046E+02,  0.100
    75.000,    325.000,     0.010, 0.1068E+02,  0.100
    75.000,    375.000,     0.010, 0.3241E+01,  0.100
    75.000,    425.000,     0.010, 0.4410E+01,  0.100
    75.000,    475.000,     0.010, 0.9446E+01,  0.100
    75.000,    525.000,     0.010,-0.1251E+02,  0.100
    75.000,    575.000,     0.010, 0.2475E+02,  0.100
    75.000,    625.000,     0.010, 0.2755E+02,  0.100
    75.000,    675.000,     0.010, 0.1390E+01,  0.100
    75.000,    725.000,     0.010,-0.3087E+01,  0.100
    75.000,    775.000,     0.010,-0.1778E+02,  0.100
    75.000,    825.000,     0.010,-0.2446E+02,  0.100
    75.000,    875.000,     0.010,-0.7770E+01,  0.100
    75.000,    925.000,     0.010,-0.2168E+02,  0.100
    75.000,    975.000,     0.010, 0.1717E-01,  0.100
   125.000,     25.000,     0.010, 0.6608E+02,  0.100
   125.000,     75.000,     0.010, 0.9062E+02,  0.100
   125.000,    125.000,     0.010, 0.8307E+02,  0.100
   125.000,    175.000,     0.010, 0.9784E+02,  0.100
   125.000,    225.000,     0.010, 0.7519E+02,  0.100
   125.000,    275.000,     0.010, 0.3335E+02,  0.100
   125.000,    325.000,     0.010, 0.3887E+02,  0.100
   125.000,    375.000,     0.010, 0.1407E+02,  0.100
   125.000,    425.000,     0.010,-0.9672E+01,  0.100
   125.000,    475.000,     0.010,-0.1428E+02,  0.100
   125.000,    525.000,     0.010, 0.2106E+02,  0.100
   125.000,    575.000,     0.010, 0.1508E+02,  0.100
   125.000,    625.000,     0.010, 0.6421E+01,  0.100
   125.000,    675.000,     0.010, 0.1685E+02,  0.100
   125.000,    725.000,     0.010, 0.4022E+01,  0.100
   125.000,    775.000,     0.010, 0.1408E+02,  0.100
   125.000,    825.000,     0.010,-0.2187E+01,  0.100
   125.000,    875.000,     0.010,-0.2389E+02,  0.100
   125.000,    925.000,     0.010,-0.1009E+02,  0.100
   125.000,    975.000,     0.010,-0.1160E+02,  0.100
   175.000,     25.000,     0.010, 0.7110E+02,  0.100
   175.000,     75.000,     0.010, 0.8218E+02,  0.100
   175.000,    125.000,     0.010, 0.1349E+03,  0.100
   175.000,    175.000,     0.010, 0.1061E+03,  0.100
   175.000,    225.000,     0.010, 0.1154E+03,  0.100
   175.000,    275.000,     0.010, 0.8717E+02,  0.100
   175.000,    325.000,     0.010, 0.1495E+02,  0.100
   175.000,    375.000,     0.010, 0.4708E+01,  0.100
   175.000,    425.000,     0.010,-0.2936E+02,  0.100
   175.000,    475.000,     0.010,-0.1843E+01,  0.100
   175.000,    525.000,     0.010,-0.1349E+01,  0.100
   175.000,    575.000,     0.010, 0.2777E+02,  0.100
   175.000,    625.000,     0.010, 0.1460E+02,  0.100
   175.000,    675.000,     0.010, 0.2499E+01,  0.100
   175.000,    725.000,     0.010,-0.3970E+01,  0.100
   175.000,    775.000,     0.010,-0.1279E+02,  0.100
   175.000,    825.000,     0.010,-0.2940E+02,  0.100
   175.000,    875.000,     0.010,-0.7202E+01,  0.100
   175.000,    925.000,     0.010,-0.7501E+01,  0.100
   175.000,    975.000,     0.010,-0.1997E+02,  0.100
   225.000,     25.000,     0.010, 0.7840E+02,  0.100
   225.000,     75.000,     0.010, 0.1076E+03,  0.100
   225.000,    125.000,     0.010, 0.1434E+03,  0.100
   225.000,    175.000,     0.010, 0.1363E+03,  0.100
   225.000,    225.000,     0.010, 0.9569E+02,  0.100
   225.000,    275.000,     0.010, 0.8909E+02,  0.100
   225.000,    325.000,     0.010, 0.2112E+02,  0.100
   225.000,    375.000,     0.010,-0.4071E+01,  0.100
   225.000,    425.000,     0.010,-0.1586E+02,  0.100
   225.000,    475.000,     0.010,-0.2544E+02,  0.100
   225.000,    525.000,     0.010, 0.2649E+02,  0.100
   225.000,    575.000,     0.010, 0.1858E+02,  0.100
   225.000,    625.000,     0.010, 0.3975E+02,  0.100
   225.000,    675.000,     0.010, 0.1684E+02,  0.100
   225.000,    725.000,     0.010,-0.3880E+01,  0.100
   225.000,    775.000,     0.010,-0.8841E+01,  0.100
   225.000,    825.000,     0.010, 0.9017E+00,  0.100
   225.000,    875.000,     0.010,-0.3317E+02,  0.100
   225.000,    925.000,     0.010,-0.2143E+02,  0.100
   225.000,    975.000,     0.010,-0.2117E+02,  0.100
   275.000,     25.000,     0.010, 0.8027E+02,  0.100
   275.000,     75.000,     0.010, 0.9394E+02,  0.100
   275.000,    125.000,     0.010, 0.1169E+03,  0.100
   275.000,    175.000,     0.010, 0.1255E+03,  0.100
   275.000,    225.000,     0.010, 0.9875E+02,  0.100
   275.000,    275.000,     0.010, 0.6119E+02,  0.100
   275.000,    325.000,     0.010, 0.3912E+02,  0.100
   275.000,    375.000,     0.010,-0.1156E+02,  0.100
   275.000,    425.000,     0.010,-0.1802E+02,  0.100
   275.000,    475.000,     0.010,-0.2252E+01,  0.100
   275.000,    525.000,     0.010, 0.2205E+02,  0.100
   275.000,    575.000,     0.010, 0.3516E+02,  0.100
   275.000,    625.000,     0.010, 0.3863E+02,  0.100
   275.000,    675.000,     0.010, 0.2220E+02,  0.100
   275.000,    725.000,     0.010,-0.9937E+01,  0.100
   275.000,    775.000,     0.010, 0.1004E+02,  0.100
   275.000,    825.000,     0.010,-0.1776E+02,  0.100
   275.000,    875.000,     0.010,-0.1961E+02,  0.100
   275.000,    925.000,     0.010,-0.1011E+02,  0.100
   275.000,    975.000,     0.010,-0.1634E+02,  0.100
   325.000,     25.000,     0.010, 0.6686E+02,  0.100
   325.000,     75.000,     0.010, 0.7642E+02,  0.100
   325.000,    125.000,     0.010, 0.1025E+03,  0.100
   325.000,    175.000,     0.010, 0.6989E+02,  0.100
   325.000,    225.000,     0.010, 0.5003E+02,  0.100
   325.000,    275.000,     0.010, 0.3301E+02,  0.100
   325.000,    325.000,     0.010,-0.3404E+01,  0.100
   325.000,    375.000,     0.010,-0.1291E+02,  0.100
   325.000,    425.000,     0.010,-0.1154E+01,  0.100
   325.000,    475.000,     0.010,-0.1425E+02,  0.100
   325.000,    525.000,     0.010, 0.2583E+02,  0.100
   325.000,    575.000,     0.010, 0.1905E+02,  0.100
   325.000,    625.000,     0.010, 0.2058E+02,  0.100
   325.000,    675.000,     0.010, 0.2342E+02,  0.100
   325.000,    725.000,     0.010, 0.1695E+02,  0.100
   325.000,    775.000,     0.010,-0.7778E+01,  0.100
