x,y,z,aCT_REM_nT,std_dev
277538,-331696,0.01,54.70911935,0.1
277538,-325196,0.01,80.84082543,0.1
277538,-318696,0.01,81.99585881,0.1
277538,-312196,0.01,55.35844064,0.1
277538,-305696,0.01,13.01697862,0.1
277538,-299196,0.01,-26.99262635,0.1
277538,-292696,0.01,-42.7837835,0.1
277538,-286196,0.01,-34.24366302,0.1
277538,-279696,0.01,-21.15376819,0.1
277538,-273196,0.01,-11.04120391,0.1
277538,-266696,0.01,-3.403490897,0.1
277538,-260196,0.01,2.758517319,0.1
277538,-253696,0.01,9.551286934,0.1
277538,-247196,0.01,9.593065815,0.1
277538,-240696,0.01,9.871584656,0.1
277538,-234196,0.01,11.14708171,0.1
277538,-227696,0.01,11.9360081,0.1
277538,-221196,0.01,14.09153149,0.1
277538,-214696,0.01,14.57873364,0.1
277538,-208196,0.01,14.85352395,0.1
277538,-201696,0.01,15.6524498,0.1
277538,-195196,0.01,16.79479212,0.1
277538,-188696,0.01,20.62139741,0.1
277538,-182196,0.01,26.79491724,0.1
277538,-175696,0.01,32.26186358,0.1
277538,-169196,0.01,37.79887767,0.1
277538,-162696,0.01,43.25245941,0.1
277538,-156196,0.01,49.9897249,0.1
277538,-149696,0.01,57.77075882,0.1
277538,-143196,0.01,64.51023459,0.1
277538,-136696,0.01,68.88396363,0.1
277538,-130196,0.01,70.14161418,0.1
277538,-123696,0.01,71.22059445,0.1
277538,-117196,0.01,75.28203421,0.1
284038,-331696,0.01,63.55241065,0.1
284038,-325196,0.01,88.09815266,0.1
284038,-318696,0.01,80.71072645,0.1
284038,-312196,0.01,51.00202796,0.1
284038,-305696,0.01,10.74514758,0.1
284038,-299196,0.01,-32.7334835,0.1
284038,-292696,0.01,-48.5832394,0.1
284038,-286196,0.01,-33.42839131,0.1
284038,-279696,0.01,-15.73508136,0.1
284038,-273196,0.01,-6.29915696,0.1
284038,-266696,0.01,-0.78445969,0.1
284038,-260196,0.01,3.792641933,0.1
284038,-253696,0.01,7.90692493,0.1
284038,-247196,0.01,8.429412981,0.1
284038,-240696,0.01,8.715137173,0.1
284038,-234196,0.01,10.27697742,0.1
284038,-227696,0.01,11.25364752,0.1
284038,-221196,0.01,14.36786461,0.1
284038,-214696,0.01,16.65005064,0.1
284038,-208196,0.01,17.17853908,0.1
284038,-201696,0.01,17.90518194,0.1
284038,-195196,0.01,18.38225122,0.1
284038,-188696,0.01,20.93297414,0.1
284038,-182196,0.01,25.70238934,0.1
284038,-175696,0.01,30.73480639,0.1
284038,-169196,0.01,37.16668668,0.1
284038,-162696,0.01,44.75237469,0.1
284038,-156196,0.01,53.33524454,0.1
284038,-149696,0.01,62.47489831,0.1
284038,-143196,0.01,70.69070766,0.1
284038,-136696,0.01,77.82110723,0.1
284038,-130196,0.01,82.94916932,0.1
284038,-123696,0.01,86.49727597,0.1
284038,-117196,0.01,90.92077636,0.1
290538,-331696,0.01,55.09612146,0.1
290538,-325196,0.01,74.5993879,0.1
290538,-318696,0.01,64.20670972,0.1
290538,-312196,0.01,37.22916028,0.1
290538,-305696,0.01,2.967319395,0.1
290538,-299196,0.01,-29.28281724,0.1
290538,-292696,0.01,-40.93003064,0.1
290538,-286196,0.01,-26.9738643,0.1
290538,-279696,0.01,-8.435161903,0.1
290538,-273196,0.01,-0.165861919,0.1
