x_m,y_m,z_m,mg_nT,stdev
529168,2092397,2890.76174,28.56842132,1
529168,2093397,2990.695532,94.06257806,1
529168,2094397,2939.900422,87.04478595,1
529168,2095397,2961.989907,50.06748526,1
529168,2096397,2945.774478,119.8543559,1
529168,2097397,3055.775732,305.6692755,1
529168,2098397,3154.059901,421.8090552,1
529168,2099397,3128.532001,378.1128137,1
529168,2100397,3041.777913,225.6299155,1
529168,2101397,2962.626712,129.0128414,1
529168,2102397,2966.352519,102.0238683,1
529168,2103397,2993.354667,51.65889646,1
529168,2104397,3008.719414,-4.054141849,1
529168,2105397,3021.352274,-54.85695154,1
529168,2106397,3069.23058,-87.82135942,1
529168,2107397,3035.259676,-106.2400854,1
529168,2108397,3044.268425,-111.3062517,1
529168,2109397,3019.753706,-99.28152699,1
529168,2110397,2992.428866,-67.10121082,1
529168,2111397,2964.732494,-30.00665514,1
530168,2092397,2955.009541,163.0763969,1
530168,2093397,3120.123942,288.8499631,1
530168,2094397,3028.453356,260.6667815,1
530168,2095397,2992.437403,166.107292,1
530168,2096397,3076.78089,193.9967865,1
530168,2097397,3080.528776,363.118549,1
530168,2098397,3231.978141,479.0045986,1
530168,2099397,3293.796877,448.9796173,1
530168,2100397,3161.573716,288.4540222,1
530168,2101397,3129.669523,178.0972604,1
530168,2102397,3114.468909,128.3880432,1
530168,2103397,3177.974375,68.14102842,1
530168,2104397,3090.519043,30.75155392,1
530168,2105397,3223.071202,-2.450047445,1
530168,2106397,3141.461222,-33.48800249,1
530168,2107397,3124.19908,-80.85101746,1
530168,2108397,3150.99463,-112.9225225,1
530168,2109397,3112.598103,-104.9658813,1
530168,2110397,3055.674019,-59.27164571,1
530168,2111397,3024.305568,-23.54771011,1
531168,2092397,2875.042374,5.312699504,1
531168,2093397,3079.301871,165.7700278,1
531168,2094397,3213.12513,239.7209183,1
531168,2095397,3086.521717,188.6164872,1
531168,2096397,3114.778731,173.8153041,1
531168,2097397,3178.700557,267.7830175,1
531168,2098397,3275.808895,385.3014314,1
531168,2099397,3379.964458,412.4726829,1
531168,2100397,3314.638423,323.5238032,1
531168,2101397,3333.463249,214.199917,1
531168,2102397,3303.641708,139.5243142,1
531168,2103397,3466.169842,87.87532139,1
531168,2104397,3446.234004,67.30108264,1
531168,2105397,3377.6036,51.39540163,1
531168,2106397,3301.247762,8.361258147,1
531168,2107397,3294.228637,-57.61566741,1
531168,2108397,3189.736496,-100.5857797,1
531168,2109397,3182.907756,-87.86197188,1
531168,2110397,3133.890254,-49.77133734,1
531168,2111397,3114.96578,-28.32613652,1
532168,2092397,2916.546387,-115.7132266,1
532168,2093397,3150.173209,-31.89453564,1
532168,2094397,3243.677717,55.66627667,1
532168,2095397,3288.856948,113.1501739,1
532168,2096397,3238.881406,164.170805,1
532168,2097397,3286.328053,247.3590941,1
532168,2098397,3394.647234,343.5284608,1
532168,2099397,3503.086374,387.0196253,1
532168,2100397,3559.365974,347.0506575,1
532168,2101397,3458.752059,239.1780673,1
532168,2102397,3515.830847,139.5401338,1
532168,2103397,3697.798588,119.6758051,1
532168,2104397,3731.857127,150.0191136,1
532168,2105397,3508.691288,115.9516803,1
532168,2106397,3443.473654,-0.830450641,1
532168,2107397,3436.872918,-93.86173866,1
532168,2108397,3318.651736,-86.18922268,1
532168,2109397,3308.775867,-35.59120002,1
532168,2110397,3289.213554,-30.50371633,1
532168,2111397,3330.634287,-47.15483174,1
533168,2092397,2964.423398,-89.10028387,1
533168,2093397,3242.978061,-67.02265743,1
533168,2094397,3061.626575,-47.97277384,1
533168,2095397,3262.223715,-3.071600052,1
533168,2096397,3393.668296,71.79129563,1
533168,2097397,3415.008213,169.9329262,1
533168,2098397,3519.583531,279.633823,1
533168,2099397,3679.929546,374.0665338,1
533168,2100397,3740.97225,383.4486545,1
533168,2101397,3633.494562,255.2117471,1
533168,2102397,3686.742194,122.2865527,1
533168,2103397,3764.40392,171.7288412,1
533168,2104397,3906.611808,298.4902017,1
533168,2105397,3644.32171,225.337112,1
533168,2106397,3719.652842,-45.30365838,1
533168,2107397,3505.463103,-205.0686764,1
533168,2108397,3539.640478,-110.4510778,1
533168,2109397,3595.179229,24.67737708,1
533168,2110397,3487.310532,5.954440828,1
533168,2111397,3584.516863,-50.1146857,1
534168,2092397,2931.106554,-65.86775556,1
534168,2093397,2874.959091,-77.27957523,1
534168,2094397,2939.670203,-96.32225873,1
534168,2095397,3272.912583,-78.89153146,1
534168,2096397,3358.45913,-24.11653306,1
534168,2097397,3464.959115,53.49783193,1
534168,2098397,3609.60463,170.5384391,1
534168,2099397,3751.640973,329.0838184,1
534168,2100397,3868.761751,407.3229001,1
534168,2101397,3940.391923,271.6967079,1
534168,2102397,3903.13638,115.8092886,1
534168,2103397,3992.215673,211.2257405,1
534168,2104397,4102.683062,404.2595015,1
534168,2105397,4037.599242,335.7253737,1
534168,2106397,3900.138918,-20.21883446,1
534168,2107397,3655.012477,-275.8672591,1
534168,2108397,3752.990285,-191.2297707,1
534168,2109397,3900.400252,12.07118134,1
534168,2110397,3671.711455,45.58363308,1
534168,2111397,3764.165794,-31.27776329,1
535168,2092397,3228.386676,-62.51889967,1
535168,2093397,3303.721556,-76.14599259,1
535168,2094397,3234.567563,-107.9051169,1
535168,2095397,3336.12061,-108.5480697,1
535168,2096397,3415.270655,-82.29774577,1
535168,2097397,3565.206028,-42.52690382,1
535168,2098397,3682.267197,60.33016144,1
535168,2099397,3822.960841,261.3003964,1
535168,2100397,3995.585777,393.5780772,1
535168,2101397,4056.73381,298.7312707,1
535168,2102397,4066.181805,191.7488319,1
535168,2103397,4184.079669,290.0519617,1
535168,2104397,4160.665131,415.9084405,1
535168,2105397,4234.00743,312.2017538,1
535168,2106397,3989.489114,-8.517641385,1
535168,2107397,3605.552356,-248.4757021,1
535168,2108397,4001.801172,-200.7123706,1
535168,2109397,3888.835873,-21.56653786,1
535168,2110397,3797.629019,32.78497319,1
535168,2111397,3917.704647,-22.22487066,1
536168,2092397,3146.064775,-93.97470456,1
536168,2093397,3197.249685,-88.26784867,1
536168,2094397,3329.582092,-97.80623995,1
536168,2095397,3402.811445,-96.96554308,1
536168,2096397,3499.033366,-93.80112444,1
536168,2097397,3587.102696,-94.48552593,1
536168,2098397,3664.209822,-21.31386243,1
536168,2099397,3854.682895,165.8341082,1
536168,2100397,4051.413248,310.8096483,1
