x_m,y_m,z_m,mg_nT,std_dev
528873,2092233,2809.008733,-82.61495265,1
528873,2094233,2911.526245,-20.03463671,1
528873,2096233,2927.007418,-2.451875972,1
528873,2098233,3081.446311,317.8087313,1
528873,2100233,3008.378227,154.545934,1
528873,2112233,2920.308245,-37.81437428,1
528873,2114233,2996.658798,-10.09171863,1
528873,2116233,3056.249591,-19.68132721,1
528873,2118233,3150.856561,-125.7505066,1
528873,2120233,3345.610636,-90.05505181,1
528873,2122233,3399.346143,5.90466605,1
528873,2124233,3191.465331,-140.7077655,1
530873,2092233,3070.945117,-45.49030277,1
530873,2094233,3115.662211,217.2213859,1
530873,2096233,3092.336183,97.61872187,1
530873,2098233,3201.714353,328.2786705,1
530873,2100233,3267.04165,277.7859911,1
530873,2102233,3228.666322,92.19405179,1
530873,2104233,3322.618503,3.017532657,1
530873,2106233,3216.347399,-35.01153269,1
530873,2108233,3171.678283,-142.7547963,1
530873,2110233,3112.55686,-95.01805607,1
530873,2112233,3138.198416,-39.1730213,1
530873,2114233,3191.073873,67.52304831,1
530873,2116233,3333.141792,12.87175841,1
530873,2118233,3471.98239,-90.26518944,1
530873,2120233,3603.131667,-91.46802049,1
530873,2122233,3622.362148,-71.04379298,1
532873,2092233,2817.949608,-161.9000897,1
532873,2094233,3228.999228,-89.61699491,1
532873,2096233,3312.576351,27.70624168,1
532873,2098233,3485.92624,231.6606639,1
532873,2100233,3684.086698,333.2267551,1
532873,2102233,3615.2375,82.45820892,1
532873,2104233,3849.643129,204.4404692,1
532873,2106233,3613.247652,-45.40440049,1
532873,2108233,3395.929691,-158.1667745,1
532873,2110233,3434.140073,-22.01469835,1
532873,2112233,3457.580146,-6.002489982,1
532873,2114233,3724.391898,127.4539846,1
532873,2116233,3743.844493,-110.649657,1
532873,2118233,3749.709811,91.3694411,1
532873,2120233,3926.657826,-121.9646852,1
532873,2122233,3963.074942,-105.5716544,1
534873,2092233,3275.174061,-110.4571649,1
534873,2094233,3210.495215,-156.2218055,1
534873,2096233,3391.335897,-129.0202454,1
534873,2098233,3651.797298,10.47081,1
534873,2100233,3945.503898,362.2706692,1
534873,2102233,3971.119139,101.4037855,1
534873,2104233,4137.683429,356.6195258,1
534873,2106233,4025.318692,27.84670287,1
534873,2108233,3913.998685,-284.7481249,1
534873,2110233,3781.136842,22.44116341,1
534873,2112233,3905.639044,-32.96280988,1
534873,2114233,3947.216233,2.658658009,1
534873,2116233,4165.104149,-263.6358988,1
534873,2118233,4201.670729,-85.41375453,1
534873,2120233,4362.058274,344.6870586,1
534873,2122233,4367.390189,72.14877885,1
534873,2124233,4130.286338,-170.8725319,1
536873,2092233,2988.290451,-180.8186505,1
536873,2094233,3253.923449,-141.9673464,1
536873,2096233,3499.909385,-124.7365614,1
536873,2098233,3705.301273,-122.9015143,1
536873,2100233,4113.18936,143.4403377,1
536873,2102233,4447.109327,598.9146491,1
536873,2104233,4556.44024,631.7892668,1
536873,2106233,4153.824629,-310.0003646,1
536873,2108233,4131.697304,-114.3766318,1
536873,2110233,3973.40026,7.867411813,1
536873,2112233,4098.267992,-55.78025783,1
536873,2114233,4224.418844,131.6527077,1
536873,2116233,4226.138403,-538.9758403,1
536873,2118233,4657.237062,-718.0795372,1
536873,2120233,5098.185593,808.3632954,1
