x_m,y_m,z_dem,mg_aeroSGM_anomCT[nT],std_dev[nT]
367342.281,2531844,1652.2,-70.084,0.01
367342.281,2531944,1646.86,-70.128,0.01
367342.281,2532044,1644.98,-70.297,0.01
367342.281,2532144,1644.24,-70.466,0.01
367342.281,2532244,1643.75,-70.636,0.01
367342.281,2532344,1644.69,-70.805,0.01
367342.281,2532444,1646.55,-70.974,0.01
367342.281,2532544,1648.18,-71.143,0.01
367342.281,2532644,1650.9,-71.313,0.01
367342.281,2532744,1654.63,-71.482,0.01
367342.281,2532844,1659.95,-71.651,0.01
367342.281,2532944,1667.74,-71.82,0.01
367442.281,2531844,1654.52,-70.066,0.01
367442.281,2531944,1648.35,-70.113,0.01
367442.281,2532044,1645.23,-70.284,0.01
367442.281,2532144,1644.03,-70.455,0.01
367442.281,2532244,1643.54,-70.626,0.01
367442.281,2532344,1643.03,-70.797,0.01
367442.281,2532444,1643.85,-70.968,0.01
367442.281,2532544,1645.55,-71.139,0.01
367442.281,2532644,1649.13,-71.31,0.01
367442.281,2532744,1653.75,-71.481,0.01
367442.281,2532844,1661.15,-71.652,0.01
367442.281,2532944,1672.47,-71.823,0.01
367542.281,2531844,1658.1,-70.048,0.01
367542.281,2531944,1650.33,-70.098,0.01
367542.281,2532044,1645.89,-70.271,0.01
367542.281,2532144,1642.57,-70.444,0.01
367542.281,2532244,1637.95,-70.617,0.01
367542.281,2532344,1633.8,-70.79,0.01
367542.281,2532444,1633.71,-70.963,0.01
367542.281,2532544,1636.15,-71.136,0.01
367542.281,2532644,1640.85,-71.308,0.01
367542.281,2532744,1648.05,-71.481,0.01
367542.281,2532844,1659.61,-71.654,0.01
367542.281,2532944,1677.33,-71.827,0.01
367642.281,2531844,1662.49,-70.03,0.01
367642.281,2531944,1653.87,-70.083,0.01
367642.281,2532044,1648.31,-70.258,0.01
367642.281,2532144,1639.99,-70.433,0.01
367642.281,2532244,1627.91,-70.608,0.01
367642.281,2532344,1619.42,-70.782,0.01
367642.281,2532444,1619.44,-70.957,0.01
367642.281,2532544,1623.9,-71.132,0.01
367642.281,2532644,1630.57,-71.306,0.01
367642.281,2532744,1642.3,-71.481,0.01
367642.281,2532844,1660.92,-71.656,0.01
367642.281,2532944,1686.75,-71.83,0.01
367742.281,2531844,1665.33,-70.013,0.01
367742.281,2531944,1655.78,-70.068,0.01
367742.281,2532044,1648.01,-70.243,0.01
367742.281,2532144,1633.57,-70.417,0.01
367742.281,2532244,1616.83,-70.592,0.01
367742.281,2532344,1609.27,-70.766,0.01
367742.281,2532444,1611.49,-70.941,0.01
367742.281,2532544,1616.56,-71.115,0.01
367742.281,2532644,1623.76,-71.29,0.01
367742.281,2532744,1641.03,-71.465,0.01
367742.281,2532844,1667.93,-71.639,0.01
367742.281,2532944,1696.74,-71.814,0.01
367842.281,2531844,1667.57,-69.998,0.01
367842.281,2531944,1655.46,-70.053,0.01
367842.281,2532044,1642.83,-70.225,0.01
367842.281,2532144,1623.62,-70.398,0.01
367842.281,2532244,1608.48,-70.57,0.01
367842.281,2532344,1606.25,-70.743,0.01
367842.281,2532444,1609.96,-70.915,0.01
367842.281,2532544,1614.09,-71.088,0.01
367842.281,2532644,1618.57,-71.26,0.01
367842.281,2532744,1636.36,-71.433,0.01
367842.281,2532844,1667.23,-71.606,0.01
367842.281,2532944,1695.36,-71.778,0.01
367942.281,2531844,1673.36,-69.982,0.01
367942.281,2531944,1655.51,-70.038,0.01
367942.281,2532044,1635.64,-70.208,0.01
367942.281,2532144,1614.77,-70.378,0.01
367942.281,2532244,1604.28,-70.549,0.01
367942.281,2532344,1604.79,-70.719,0.01
367942.281,2532444,1606.96,-70.89,0.01
367942.281,2532544,1609.67,-71.06,0.01
367942.281,2532644,1615.62,-71.231,0.01
367942.281,2532744,1628.02,-71.401,0.01
367942.281,2532844,1645.34,-71.572,0.01
367942.281,2532944,1670.27,-71.742,0.01
368042.281,2531844,1677.22,-69.967,0.01
368042.281,2531944,1649.09,-70.023,0.01
368042.281,2532044,1624.99,-70.191,0.01
368042.281,2532144,1608.14,-70.359,0.01
368042.281,2532244,1603.27,-70.527,0.01
368042.281,2532344,1604.75,-70.696,0.01
368042.281,2532444,1605.25,-70.864,0.01
368042.281,2532544,1607.07,-71.032,0.01
368042.281,2532644,1612.94,-71.201,0.01
368042.281,2532744,1621.03,-71.369,0.01
