x_utm,y_utm,z_dem,anom_CT_filledDummies[nT],std_dev[nT]
368260.02,2532272.27,1304.53,317.54,0.01
367392.29,2532642.05,1350.8,185.67,0.01
367427.8,2532608.53,1348.19,655.35,0.01
367458.35,2532594.86,1346.37,653.58,0.01
367506.17,2532595.88,1342.86,422.84,0.01
367551.82,2532584.29,1336.75,187.78,0.01
367590.66,2532557.16,1330.99,846.54,0.01
367635.97,2532529.3,1323.98,962.07,0.01
367683.86,2532515.92,1318.25,550.65,0.01
367739.04,2532515.22,1315.15,549.39,0.01
367754.95,2532468.36,1312.23,-17.1,0.01
367776.63,2532425.43,1310.33,35.07,0.01
367801.7,2532383.57,1308.21,345.48,0.01
367836.11,2532340.87,1306.41,475.76,0.01
367872.73,2532305.56,1305.31,473.06,0.01
367924.05,2532296.8,1304.37,582.08,0.01
367964.12,2532269.21,1303.44,556.65,0.01
368012.85,2532257.27,1303.15,373.06,0.01
368064.72,2532263.68,1303.23,429.25,0.01
368112.63,2532275.66,1303.73,491.15,0.01
368159.21,2532265.29,1304.04,555.52,0.01
368211.3,2532261.85,1304.04,352.84,0.01
368260.02,2532272.27,1304.53,317.54,0.01
368302.16,2532258.07,1304.35,411.48,0.01
368355.29,2532268.45,1304.75,893.15,0.01
368405.78,2532258.38,1304.68,735.99,0.01
368460.65,2532257.02,1304.64,490.16,0.01
368510.78,2532265,1304.42,675.46,0.01
368565.92,2532271.6,1304.11,89.43,0.01
368621.59,2532277.76,1304.97,-301.5,0.01
368660.18,2532256.16,1307.18,36.52,0.01
368712.79,2532254.94,1310.34,148.43,0.01
368767.72,2532237.19,1313.69,154.66,0.01
368826.39,2532234.46,1318.06,458.04,0.01
368872.38,2532215.68,1323.25,347.8,0.01
368919.35,2532190.69,1328.14,-361.01,0.01
368964.14,2532161.4,1332.83,70.56,0.01
369014.1,2532137.05,1337.86,508.72,0.01
369073.96,2532144.28,1342.34,513.61,0.01
369121.6,2532159.92,1345.29,307.2,0.01
369173.15,2532166.35,1346.48,368.11,0.01
369226.05,2532174.41,1343.8,352.25,0.01
369278.98,2532184.25,1339.45,104.65,0.01
368492.92,2532830.08,1325.21,-435.25,0.01
368456.66,2532799.83,1319.85,-394.48,0.01
368407.52,2532787.64,1315.96,-352.47,0.01
368386.56,2532832,1321.02,-465.1,0.01
368342.5,2532837.14,1320.84,-476.16,0.01
368300.15,2532816.04,1315.68,-397.33,0.01
368262.86,2532786.46,1313.06,-282.53,0.01
368218.12,2532750.09,1311.78,-176.03,0.01
368181.56,2532708.89,1311.22,-65.09,0.01
368151.7,2532673.49,1310.72,15.11,0.01
368119.42,2532630.93,1309.66,76.6,0.01
368076.42,2532605.28,1309.4,82.3,0.01
368027.19,2532606.38,1310.31,4.97,0.01
367986.11,2532566.09,1309.04,-4.63,0.01
367968.03,2532516.98,1308.02,-3.95,0.01
367927.1,2532492.43,1308.63,26.81,0.01
367956.45,2532446.44,1306.67,27.03,0.01
367982.9,2532410,1305.36,99.44,0.01
368047.04,2532401.24,1304.88,115.89,0.01
368151.88,2532412.62,1305.72,192.11,0.01
368207.8,2532354.33,1305.56,254.06,0.01
368378.23,2532111.25,1309.2,296.84,0.01
368343.89,2532149.86,1305.53,290.65,0.01
368312.98,2532193.97,1304.22,309.95,0.01
368286.17,2532236.72,1304.04,244.81,0.01
368253.46,2532285.17,1304.8,334.21,0.01
368217.09,2532326.02,1305.35,299.37,0.01
368198.22,2532373.91,1305.65,245.6,0.01
368162.83,2532408.31,1305.72,196.6,0.01
368141.27,2532454.56,1305.93,184.9,0.01
368127.03,2532504.41,1306.27,175.98,0.01
368114.84,2532552.9,1307.05,200.66,0.01
368087.73,2532596.44,1308.69,112.63,0.01
368045.53,2532627.47,1311.61,-7.11,0.01
368008.83,2532665.99,1315,-142.9,0.01
367984.72,2532712.16,1319.92,-289.52,0.01
367965.36,2532750.53,1326.81,-502.41,0.01
368481.93,2532803.59,1321.46,-398.33,0.01
368430.69,2532810.68,1320.09,-415.31,0.01
368394.99,2532775.24,1314.07,-320.53,0.01
368375.73,2532730.34,1310.27,-218.36,0.01
368355.41,2532682.68,1308.97,-106.98,0.01
368332.02,2532635.6,1308.44,8.44,0.01
368313.86,2532587.93,1307.71,116.14,0.01
368311.65,2532534.8,1307.12,210.48,0.01
368262.11,2532523.39,1306.72,229.07,0.01
368230.19,2532487.13,1306.3,244.46,0.01
368271.52,2532461.73,1306.27,293,0.01
368299.99,2532420.19,1306.46,373.28,0.01
368287.55,2532371.13,1306.22,395.82,0.01
368272.76,2532322.32,1305.83,396.17,0.01
368255.19,2532271.99,1304.49,316.53,0.01
368239.07,2532222.96,1303.85,260.77,0.01
368224.58,2532173.15,1304.32,273.36,0.01
368217.89,2532123.49,1306.85,288.04,0.01
368212.95,2532074.6,1312.33,234.61,0.01
368202.26,2532025.31,1320.32,94.72,0.01
368198.01,2531973.85,1331.75,19.75,0.01
368239.7,2531942.27,1342.05,-39.45,0.01
368264.72,2531894.1,1357.99,-222.34,0.01
368452.39,2532251.88,1304.61,419.08,0.01
368466.64,2532203.04,1304.71,305.94,0.01
368465.48,2532152.56,1305.79,270.18,0.01
368434.06,2532113.41,1310,273.11,0.01
368386.19,2532094.67,1311.89,308.38,0.01
368335.79,2532091.9,1311.95,274.3,0.01
368286.62,2532087.46,1311.8,262.58,0.01
368237.54,2532083.01,1311.43,256.05,0.01
368187.45,2532080.24,1311.6,236.31,0.01
368139.2,2532075.79,1313.16,161.14,0.01
368089.93,2532072.57,1315.57,28.97,0.01
368039.3,2532067.7,1319.97,-80.05,0.01
367990.01,2532072.89,1323.94,-151.76,0.01
367939.41,2532081.97,1326.77,19.41,0.01
367889.35,2532082.73,1331.54,-93.66,0.01
367839.34,2532076.64,1337.07,-130.06,0.01
367788.12,2532073.1,1341.67,762.83,0.01
367740.87,2532089.91,1342.79,-41.18,0.01
367693.5,2532105.04,1343.54,-194.93,0.01
367714.71,2532091.57,1344.34,-2.07,0.01
367762.62,2532079.41,1342.59,116.36,0.01
367811.22,2532063.71,1341.55,330.07,0.01
