x_m,y_m,z_dem,mg_terr_anomCT_nT,std_dev[nT]
367442.281,2532444,1343.85,578.09,0.01
367442.281,2532544,1345.55,742.35,0.01
367442.281,2532644,1349.13,485.84,0.01
367442.281,2532744,1353.75,298.86,0.01
367542.281,2532144,1342.57,-160.18,0.01
367542.281,2532444,1333.71,574.22,0.01
367542.281,2532544,1336.15,461.4,0.01
367542.281,2532644,1340.85,234.08,0.01
367542.281,2532744,1348.05,416.22,0.01
367642.281,2531944,1353.87,-246.29,0.01
367642.281,2532044,1348.31,-194.81,0.01
367642.281,2532144,1339.99,-243.92,0.01
367642.281,2532244,1327.91,23.76,0.01
367642.281,2532344,1319.42,239.04,0.01
367642.281,2532444,1319.44,465.95,0.01
367642.281,2532544,1323.9,937.3,0.01
367642.281,2532644,1330.57,648.68,0.01
367642.281,2532744,1342.3,434.81,0.01
367742.281,2531944,1355.78,96.32,0.01
367742.281,2532044,1348.01,643.04,0.01
367742.281,2532144,1333.57,-276.75,0.01
367742.281,2532244,1316.83,80.57,0.01
367742.281,2532344,1309.27,312.97,0.01
367742.281,2532444,1311.49,21.21,0.01
367742.281,2532544,1316.56,705,0.01
367742.281,2532644,1323.76,593.71,0.01
367742.281,2532744,1341.03,259.09,0.01
367842.281,2531944,1355.46,-96.61,0.01
367842.281,2532044,1342.83,-104.31,0.01
367842.281,2532144,1323.62,-33.42,0.01
367842.281,2532244,1308.48,307.43,0.01
367842.281,2532344,1306.25,464.56,0.01
367842.281,2532444,1309.96,86.31,0.01
367842.281,2532544,1314.09,238.71,0.01
367842.281,2532644,1318.57,207.33,0.01
367842.281,2532744,1336.36,-107.32,0.01
367942.281,2531944,1355.51,-346.71,0.01
367942.281,2532044,1335.64,-238.1,0.01
367942.281,2532144,1314.77,239.69,0.01
367942.281,2532244,1304.28,491.72,0.01
367942.281,2532344,1304.79,458.03,0.01
367942.281,2532444,1306.96,40.43,0.01
367942.281,2532544,1309.67,13.29,0.01
367942.281,2532644,1315.62,-67.36,0.01
367942.281,2532744,1328.02,-431.88,0.01
368042.281,2531944,1349.09,-293.57,0.01
368042.281,2532044,1324.99,-157.02,0.01
368042.281,2532144,1308.14,192.75,0.01
368042.281,2532244,1303.27,355.19,0.01
