 x[m],y[m],z[m],Density_Contrast[g/cm**3]
    25.000,     25.000,   -25.000,  0.0000
    25.000,     25.000,   -75.000,  0.0000
    25.000,     25.000,  -125.000,  0.0000
    25.000,     25.000,  -175.000,  0.0000
    25.000,     25.000,  -225.000,  0.0000
    25.000,     25.000,  -275.000,  0.0000
    25.000,     25.000,  -325.000,  0.0000
    25.000,     25.000,  -375.000,  0.0000
    25.000,     25.000,  -425.000,  0.0000
    25.000,     25.000,  -475.000,  0.0000
    25.000,     75.000,   -25.000,  0.0000
    25.000,     75.000,   -75.000,  0.0000
    25.000,     75.000,  -125.000,  0.0000
    25.000,     75.000,  -175.000,  0.0000
    25.000,     75.000,  -225.000,  0.0000
    25.000,     75.000,  -275.000,  0.0000
    25.000,     75.000,  -325.000,  0.0000
    25.000,     75.000,  -375.000,  0.0000
    25.000,     75.000,  -425.000,  0.0000
    25.000,     75.000,  -475.000,  0.0000
    25.000,    125.000,   -25.000,  0.0000
    25.000,    125.000,   -75.000,  0.0000
    25.000,    125.000,  -125.000,  0.0000
    25.000,    125.000,  -175.000,  0.0000
    25.000,    125.000,  -225.000,  0.0000
    25.000,    125.000,  -275.000,  0.0000
    25.000,    125.000,  -325.000,  0.0000
    25.000,    125.000,  -375.000,  0.0000
    25.000,    125.000,  -425.000,  0.0000
    25.000,    125.000,  -475.000,  0.0000
    25.000,    175.000,   -25.000,  0.0000
    25.000,    175.000,   -75.000,  0.0000
    25.000,    175.000,  -125.000,  0.0000
    25.000,    175.000,  -175.000,  0.0000
    25.000,    175.000,  -225.000,  0.0000
    25.000,    175.000,  -275.000,  0.0000
    25.000,    175.000,  -325.000,  0.0000
    25.000,    175.000,  -375.000,  0.0000
    25.000,    175.000,  -425.000,  0.0000
    25.000,    175.000,  -475.000,  0.0000
    25.000,    225.000,   -25.000,  0.0000
    25.000,    225.000,   -75.000,  0.0000
    25.000,    225.000,  -125.000,  0.0000
    25.000,    225.000,  -175.000,  0.0000
    25.000,    225.000,  -225.000,  0.0000
    25.000,    225.000,  -275.000,  0.0000
    25.000,    225.000,  -325.000,  0.0000
    25.000,    225.000,  -375.000,  0.0000
    25.000,    225.000,  -425.000,  0.0000
    25.000,    225.000,  -475.000,  0.0000
    25.000,    275.000,   -25.000,  0.0000
    25.000,    275.000,   -75.000,  0.0000
    25.000,    275.000,  -125.000,  0.0000
    25.000,    275.000,  -175.000,  0.0000
    25.000,    275.000,  -225.000,  0.0000
    25.000,    275.000,  -275.000,  0.0000
